"gene_name","module","color","kME_blue","kME_turquoise","kME_grey","kME_yellow","kME_brown","kME_green"
"TRAPPC9","grey","grey",0.264462899730539,-0.0909560951207854,0.124734611997079,-0.00834052583644872,0.121627608605882,0.0349595576585497
"AC107375.1","grey","grey",0.0757171487904946,-0.0485196517944372,0.0601278712836349,-0.0239761496868138,0.128441124915018,0.0201178306628948
"CHRAC1","grey","grey",-0.000154573268636244,-0.0244038716204746,-0.00757120314186052,-0.0467917941063375,0.116029572121419,0.0278306602554199
"AGO2","grey","grey",0.188772123702485,-0.142761187425874,0.0930448643964603,-0.062987317995836,0.194640260715521,0.00856546356652801
"PTK2","blue","blue",0.412608767732011,-0.256699562827965,0.186838805758668,-0.117375523247865,0.257781431983856,0.0468686092539111
"DENND3","blue","blue",0.336479802724887,-0.231433307146716,0.248650285313153,-0.117836916807781,0.074311008186545,0.00909023016390726
"SLC45A4","grey","grey",0.213369642970523,-0.109530695784169,0.128492725299885,-0.0160495929730199,0.00527391888458606,-0.0370174697598476
"TSNARE1","grey","grey",0.190460393470948,-0.136172047584948,0.0936006329189625,-0.0599156706089551,0.102511110563767,0.00593314297447964
"ADGRB1","grey","grey",0.0221420060148751,0.0259202201925424,0.0222729768461762,0.0611205569855638,0.00358729866514676,0.0237402446498976
"JRK","grey","grey",0.0666002497250378,-0.0270924429799871,0.0447622549556925,0.00659434386174303,0.0655951109676038,0.00816822245637535
"LY6E","turquoise","turquoise",-0.12246168980224,0.196640891071055,-0.0103137442406589,0.0819292537989547,-0.0222626380029509,0.028690879562521
"LY6H","turquoise","turquoise",-0.12920959301566,0.232248351965718,-0.0104302981734567,0.0955838835171888,-0.0497837274230138,0.0132999683699142
"GPIHBP1","brown","brown",0.0043991989744799,-0.0201396311580495,0.0302800428517663,-0.00766393391747567,0.109240250520373,0.014380731149119
"GLI4","grey","grey",-0.00112504068807069,0.0207190963477,0.00142830024575867,0.0137028488028662,0.00125615620480628,-0.0147867526034157
"RHPN1","grey","grey",-0.0243839526187302,0.0791848733392297,0.00882891372241324,0.0865115099277147,0.00763669720836595,0.000863224144611871
"ZC3H3","grey","grey",0.183277127156124,-0.0975735668419342,0.06980214576373,-0.0356130613946286,0.0620005082650088,0.0315446198945663
"EEF1D","grey","grey",0.0282498074068614,0.0258945191468191,0.0562727708211121,-0.00365126749075479,0.0937238571772314,0.0372883372661092
"ZNF623","grey","grey",0.110488880685363,-0.0431614239296269,0.0570412870150325,0.018719034287658,0.0354160699662122,0.00339336985488668
"SCRIB","grey","grey",0.0107231476310306,0.0186739401670201,0.000810527228603532,0.030601608444792,0.0604144323066174,0.00673142705026738
"PUF60","turquoise","turquoise",-0.134429299888988,0.221825331441128,0.0129292911695121,0.133653868057233,-0.00570184964255615,0.0636705028337776
"NRBP2","grey","grey",0.0221142327013537,0.00435312059875503,0.00382302899892397,-0.0114974450818207,0.0631395210392517,-0.0118532978297586
"PLEC","grey","grey",0.0764302776615119,0.0108351500241614,0.0659977661261956,0.0960620426061314,-0.0178432165689586,0.0112174233454009
"PARP10","grey","grey",5.73036839792869e-06,-0.0202597013739014,0.0238022664768504,-0.00519474777927716,0.0249561084908084,-0.00539049313165461
"GRINA","turquoise","turquoise",-0.257877015731473,0.344460414796125,-0.0564143087363486,0.19037159334713,-0.069331144121995,0.0179798952203031
"GPAA1","turquoise","turquoise",-0.142351869599525,0.221083113827277,-0.0133372120870399,0.0898832831695835,-0.0165949948709277,0.0316130258136326
