"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Plasma Membrane Organization (GO:0007009)","3/72",0.00563543249072426,0.0531127044479764,0,0,8.88883908561183,46.0324654948436,"NSF;SYT11;ANXA6","GO_Biological_Process_2023","blue"
"Positive Regulation Of Transferase Activity (GO:0051347)","4/143",0.00578268220405759,0.0536871971167786,0,0,5.92356115107914,30.523445127792,"HSP90AA1;PINK1;HSP90AB1;SERINC1","GO_Biological_Process_2023","blue"
"Intracellular Protein Transport (GO:0006886)","6/325",0.00584223860041872,0.0536871971167786,0,0,3.91802841325952,20.1490144724511,"NSF;APLP2;STXBP1;CLTC;SCG5;VPS35","GO_Biological_Process_2023","blue"
"Cell-Cell Signaling By Wnt (GO:0198738)","2/23",0.00584761959206228,0.0536871971167786,0,0,19.3187560738581,99.3316462237063,"CPE;VPS35","GO_Biological_Process_2023","blue"
"Neuron Projection Morphogenesis (GO:0048812)","4/146",0.00621806957426721,0.0546117172517183,0,0,5.79753521126761,29.4531936579824,"UBB;APLP2;MAP1B;NEFH","GO_Biological_Process_2023","blue"
"Regulation Of Microtubule Depolymerization (GO:0031114)","2/24",0.00635854736076345,0.0546117172517183,0,0,18.4397031539889,93.2671948534304,"MAP1B;STMN2","GO_Biological_Process_2023","blue"
"Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050)","2/24",0.00635854736076345,0.0546117172517183,0,0,18.4397031539889,93.2671948534304,"PINK1;UBB","GO_Biological_Process_2023","blue"
"Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060314)","2/24",0.00635854736076345,0.0546117172517183,0,0,18.4397031539889,93.2671948534304,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Regulation Of Supramolecular Fiber Organization (GO:1902903)","2/24",0.00635854736076345,0.0546117172517183,0,0,18.4397031539889,93.2671948534304,"HSPA8;MAP1B","GO_Biological_Process_2023","blue"
"Positive Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010800)","2/24",0.00635854736076345,0.0546117172517183,0,0,18.4397031539889,93.2671948534304,"CALM3;CALM1","GO_Biological_Process_2023","blue"
