"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_brown"
"HAGLR","grey","grey",0.0727736831649016,-0.0231013019690536,-0.0707451169702693,-0.00948890718418643,0.0130776929522419
"MTX2","grey","grey",0.0157431619766059,0.12577388986272,-0.047183235737109,0.0880881050986614,0.0324194380540887
"HNRNPA3","blue","blue",0.0201243772795905,0.192107129421931,-0.0613609756762303,0.109771879357199,0.0607990014875176
"NFE2L2","turquoise","turquoise",0.149781770196161,-0.101721030087681,-0.00627142248729798,-0.0468230406368045,-0.0144505903287591
"AGPS","turquoise","turquoise",0.0671726266189447,0.00453286672502901,0.000345569356019498,0.0114384807561518,0.0278930802446845
"RBM45","turquoise","turquoise",0.0768091747587712,-0.0699061647375512,0.0334848539304838,-0.0493606452555547,-0.0563214531287262
"OSBPL6","turquoise","turquoise",0.0932823059465648,-0.189000258577049,0.0889990700976862,-0.112184179261927,-0.0501232981122731
"AC009948.1","turquoise","turquoise",0.0358377449627458,-0.0602278916750794,0.0133727818990301,-0.0142625375094697,-0.00929778524117036
"PRKRA","grey","grey",0.00864354485559119,0.0638893443996987,-0.0126601828828731,0.0401213009696076,0.0294008857313472
"PJVK","grey","grey",0.0724543262560914,0.00345642243145662,-0.000528463088229395,0.0291503880551475,0.0247318387955118
"PLEKHA3","blue","blue",-0.0496325635374114,0.203184558575957,-0.0747584873262042,0.18108857179221,0.135119246888138
"TTN-AS1","turquoise","turquoise",0.166185149922593,-0.296123503134041,0.0888632546940492,-0.185694419736214,-0.102828454112646
"TTN","grey","grey",0.028022398648089,-0.0293505172295718,0.0468682668502085,-0.0413542434299441,0.00312025935897284
"SESTD1","turquoise","turquoise",0.143669241501416,-0.0686762630486864,-0.0155610030446734,-0.0174375014127139,0.00199644800624199
"ZNF385B","turquoise","turquoise",0.101422996614283,-0.229634989434031,0.0648167136546515,-0.147467938218361,-0.0695397075179476
"CWC22","grey","grey",0.052371054506445,-0.00312598732572515,-0.0347754685923285,9.84959593742368e-05,0.0310275225471979
"UBE2E3","grey","grey",0.0106314863679658,0.158409166418739,-0.0686640894061697,0.117392641528216,0.0703975882541859
"SSFA2","turquoise","turquoise",0.073173630418728,-0.119504096722345,0.0800160310246534,-0.081204195100966,-0.0083255444755034
"PDE1A","turquoise","turquoise",0.171725562076811,-0.0974651203815446,5.18588657954139e-05,-0.0435396101958746,-0.0443558000739648
"DNAJC10","grey","grey",0.0187706250954562,0.114867833762436,-0.0475957031047508,0.0668931320840874,0.0453767393631556
"NCKAP1","grey","grey",-0.0296360541275749,0.210503431256252,-0.0230437445606875,0.101934116012994,0.0944186206156711
"NUP35","grey","grey",0.0386178676606564,0.000307137759263933,-0.0228395157505614,-0.0173879988640614,-0.00950159355404332
"ZNF804A","turquoise","turquoise",0.0975551580211632,-0.2351816014388,0.0893577445084374,-0.155596191692515,-0.0720571599828649
"FSIP2","turquoise","turquoise",0.0731382070033587,-0.0543474569082052,-0.00817040055574193,-0.00253368364831309,-0.0234003390682342
"FSIP2-AS1","turquoise","turquoise",0.0614561170080884,-0.0993626693475696,0.00627475517940024,-0.0440618489405651,-0.0393290360291405
"LINC01473","turquoise","turquoise",0.112758368113822,-0.151139202066822,0.0536208340117089,-0.0827635501266059,-0.0472651120598835
"ZC3H15","blue","blue",-0.0646294221261998,0.349111139799999,-0.10112475871178,0.216948299371111,0.025397726353625
"ITGAV","grey","grey",0.0869554241206431,0.00837685044740431,-0.0139748837639266,-0.00933474261891504,-0.0269088459516361
"AC017101.1","grey","grey",0.0414726410772408,-0.0308989479388435,0.0187975678488763,-0.0192319882551176,-0.01668823846302
"FAM171B","grey","grey",0.00955924414516978,0.0455284967497244,-0.0104883873886403,0.00814392872471804,0.013526578303816
"AC007319.1","turquoise","turquoise",0.0800881115874315,-0.118206789114126,0.0211279377138113,-0.0579090884614396,-0.0143135363292291
"CALCRL","grey","grey",0.0153856319741358,-0.0422575611076813,0.0521885035187743,-0.0235942528021484,-0.00373231283180095
"WDR75","grey","grey",0.0248513975546184,0.0404447808481199,0.0147273451767294,0.020314509039175,0.0122125910219395
"SLC40A1","grey","grey",0.019192794550276,-0.00940480446932432,-0.00497324479615298,-0.018310149668205,0.00921646844059202
"ASNSD1","blue","blue",-0.0374642412313084,0.182090186213794,-0.0603776977849591,0.155440100917148,0.068208771398228
"ANKAR","turquoise","turquoise",0.136736900410075,-0.148275719219938,0.0394738359942454,-0.0703690837666856,-0.0291202317862691
"OSGEPL1","grey","grey",0.0267625092065727,-0.0056960762750784,-0.00757272102813882,0.0149140310997544,0.001881403585826
"ORMDL1","grey","grey",0.0132503164352566,0.0740753350127363,-0.0285475573211372,0.092996895286644,0.0481325715625754
"PMS1","turquoise","turquoise",0.086476374987022,-0.110505140315465,0.0204342920248537,-0.0783937207349277,-0.0486482410271571
"C2orf88","grey","grey",0.0358075987922866,0.061015001641111,-0.0311436605967615,0.046196908203802,-0.00526588387747422
"HIBCH","turquoise","turquoise",0.131041725421664,-0.100623761955648,0.0431503865421375,-0.0529672633774023,-0.086053645063916
"INPP1","grey","grey",0.0390991800457369,0.108245390823004,-0.0711931695734761,0.083872065905813,0.0153442833037826
"MFSD6","blue","blue",-0.0808049703999234,0.426186042513339,-0.0619819023060873,0.15182965919633,0.0515267677170959
"AC108047.1","turquoise","turquoise",0.131478100842782,-0.161862626473411,0.0280032060841733,-0.0894611017482098,-0.0390191843069504
"NAB1","grey","grey",0.00529103712678817,0.103422926856808,-0.0635329617905425,0.0723282379252274,0.0810463551488564
"GLS","blue","blue",-0.0457685931502489,0.277077503935296,-0.0135799906715687,0.0835198033760392,-0.0341793715841441
"STAT1","blue","blue",-0.0578305892464101,0.284275701393326,-0.0570882986228842,0.174666241771972,0.0337512563579578
"NABP1","grey","grey",0.0118659136352606,-0.00836449548140858,-0.00707927350045738,-0.00328046902147808,-0.0198531845395192
"AC098617.1","turquoise","turquoise",0.0518457617181706,-0.041650802765993,-0.00580952707808193,0.00238283684389952,-0.0386008038034906
"TMEFF2","turquoise","turquoise",0.197137005480041,-0.104008803333629,-0.00783175803506119,-0.0532699102614577,-0.0182947450605491
"SLC39A10","blue","blue",-0.0566367435014945,0.265617987003569,-0.0542348840002286,0.121054760351562,0.0618135862560929
"DNAH7","turquoise","turquoise",0.0396650981897623,-0.116863124264801,0.0822445152457439,-0.0724506561145461,-0.0320464696155336
"STK17B","grey","grey",0.0205917653465695,0.0164260821145881,-0.0183131803656435,0.0138467338164228,0.0222061469647447
"HECW2","turquoise","turquoise",0.220191571542584,-0.25595938285907,0.0672513342839114,-0.142559022281354,-0.0681187893532589
"GTF3C3","grey","grey",0.00868691265534251,0.034330154771653,0.00227826804592706,-0.0011649104521288,-0.0115318685920107
"PGAP1","grey","grey",0.0253886650337046,0.077078972917737,0.0126794200725343,0.00268642449006425,0.0112083831822123
"ANKRD44","turquoise","turquoise",0.251765723545111,-0.266152735894766,0.0276770677669381,-0.138940481147849,-0.0547669722132428
"SF3B1","blue","blue",0.0170725999119012,0.170040512962154,-0.0457754567903438,0.0773224929907378,-0.0107134513174517
"COQ10B","blue","blue",-0.0359104609589257,0.178025348432821,-0.0472035293049755,0.120992794922652,0.053998001835576
"HSPD1","blue","blue",-0.099923317228911,0.41717090902645,-0.0727436448890282,0.20415874289621,0.0197701395637549
"MOB4","blue","blue",-0.0369747873155959,0.205583414143308,-0.0694759205207189,0.145747353004935,0.0979036773809446
"RFTN2","turquoise","turquoise",0.287117284498101,-0.0863371632360968,-0.0779492448776092,-0.0142714963353925,-0.00945633391074866
"AC011997.1","turquoise","turquoise",0.0819037748423754,-0.148020929477974,0.0499854192243676,-0.0938936932824037,-0.0447202677779426
"PLCL1","turquoise","turquoise",0.426677736322684,-0.178652824902509,-0.183764953439822,-0.0570778386542361,-0.0144879258145206
"SATB2","turquoise","turquoise",0.090568500022264,-0.0514172080475904,-0.0127032805186181,-0.0166749748259019,-0.0172315750618436
"LINC01877","grey","grey",0.160231040370923,-0.0192771831687541,-0.0934255429077401,0.0184093199986578,-0.00139267379874889
"FTCDNL1","turquoise","turquoise",0.155389159145083,-0.0933140189490415,-0.0266027392068794,-0.0315547098043878,0.0175604470852247
"C2orf69","grey","grey",0.0108559563140063,0.0832370346025118,-0.0577535857518548,0.0498612329786417,0.0791887885096441
"TYW5","grey","grey",0.0392741173826548,-0.0203204762343031,-0.00315832403095406,-0.0122766045308912,-0.00620336727424605
"MAIP1","grey","grey",0.0156127089054464,0.0419128477662902,-0.00413106005015207,0.0274925272552911,0.0192128658024938
"SPATS2L","turquoise","turquoise",0.0511914042891176,0.00192575948672515,0.0157322094566748,-0.0113550158301543,-0.0137354984146483
"KCTD18","grey","grey",0.0424561827949391,-0.0124802128673353,-0.0029323167419392,-0.000362764842963882,-0.0133708058541703
"SGO2","grey","grey",-0.000147680969801861,0.0183027022070935,0.0103364545206714,0.0067335469193538,0.00524485845311073
"LINC01792","turquoise","turquoise",0.182579734931504,-0.0321276304175317,-0.0733917584685206,-0.00439160963934906,-0.0123340123918962
"BZW1","blue","blue",-0.0272275916485794,0.219863504373803,-0.0917804658591057,0.171747609251121,0.114599868003441
"CLK1","turquoise","turquoise",0.16802803831541,-0.144645538074581,-0.00162455372644617,-0.0636599652758686,-0.0422242650198999
"PPIL3","grey","grey",0.0362698937264345,0.00849625639201732,-0.00340283812334704,0.0322535544843829,0.00881827999997899
"ORC2","turquoise","turquoise",0.116848711775403,-0.0946184376946339,0.0163595449588733,-0.0630888800673075,-0.0398953799587399
"AC005037.1","turquoise","turquoise",0.0693748663382645,-0.0622132615409387,-0.012225879180776,-0.0237233319736233,-0.0236907695273622
"FAM126B","grey","grey",0.0386200823102455,0.0210945026352079,0.00629416010667246,0.0309605819334867,0.103199623739108
"NDUFB3","blue","blue",-0.0378715159358489,0.204123880464797,-0.0898396937396121,0.213644605365922,0.0459585721705463
"CFLAR","grey","grey",0.0858248172916652,-0.0293247028323394,-0.0146489964212065,0.00490050139861069,0.0388343424266196
"ALS2CR12","turquoise","turquoise",0.0745087532613146,-0.200155852992351,0.0837443330977038,-0.131158885383036,-0.0546145357367312
"TRAK2","turquoise","turquoise",0.0808478458525087,-0.0653330316417451,0.0241204843767052,-0.0234044860756727,0.0449938188952688
"STRADB","grey","grey",0.0606058991659705,-0.010173325048572,-0.0136633392280489,0.0115570609272559,-0.00123833703647193
"C2CD6","turquoise","turquoise",0.118247675509636,-0.131096131028962,0.0636287551080255,-0.0638264188459176,-0.0450803556047112
"TMEM237","grey","grey",-0.0333666918484273,0.139302895574571,-0.0329843963358037,0.0905392671057663,0.0307681600594141
"ALS2","turquoise","turquoise",0.0675274754330268,-0.110149897694257,0.0504425397123481,-0.0700320819078169,-0.0332602131124938
"SUMO1","blue","blue",-0.0275749424763321,0.156022699671214,-0.0744346702124757,0.173355604264018,0.0856530345000476
"NOP58","turquoise","turquoise",0.0640235520222876,-0.0471030663046102,0.044422467180682,-0.0348958080503553,-0.0129862382243949
"BMPR2","grey","grey",0.0258017599473961,0.071210602920574,0.00490225358981379,0.0585617807550857,0.12517882321459
"FAM117B","turquoise","turquoise",0.0583240956584127,-0.103458069114877,0.0557600069109508,-0.0564513184668653,0.00296493249293851
"ICA1L","turquoise","turquoise",0.0999885684139386,-0.182864515750584,0.0934232230743352,-0.114778768816405,-0.0502365367018777
"WDR12","grey","grey",0.00556679877444294,0.0748427757429708,-0.0157085903681513,0.0550636478395938,0.048850945372043
"CARF","turquoise","turquoise",0.0809647153823303,-0.0548162894253244,0.0156819467615453,-0.0215967065672372,0.00696982594166753
"NBEAL1","turquoise","turquoise",0.11769916653082,-0.130090491989664,0.0157751008657473,-0.0313673984456354,-0.0254835704533814
"CYP20A1","turquoise","turquoise",0.0933329101414336,-0.130046399607134,0.045624946911232,-0.070224864741503,-0.0118690343404434
"ABI2","turquoise","turquoise",0.0642037656083366,0.0436805741537175,-0.0158348181434386,0.0382718614490977,0.0752203217765913
"RAPH1","grey","grey",0.00330233859896206,0.0887359195223875,0.000926879209196144,0.0462013269346127,0.0733812844875739
"PARD3B","turquoise","turquoise",0.183520985282687,-0.122018261437497,0.0368193391577732,-0.0497390003615437,-0.0307154325260491
