"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Limb Development (GO:0060173)","2/28",0.00859620747114401,0.114804612936989,0,0,15.5996860282575,74.1988795836398,"SMOC1;PCSK5","GO_Biological_Process_2023","pink"
"Regulation Of Osteoblast Differentiation (GO:0045667)","3/85",0.00890772751370806,0.117420044498879,0,0,7.47472969575057,35.2869739274349,"NELL1;MEF2C;SMOC1","GO_Biological_Process_2023","pink"
"Response To Alcohol (GO:0097305)","2/29",0.00920309747511436,0.119758255605655,0,0,15.021164021164,70.4224490277819,"TGFBR3;SLIT2","GO_Biological_Process_2023","pink"
"Regulation Of Potassium Ion Transport (GO:0043266)","2/30",0.00982857782071015,0.123873687014681,0,0,14.4839650145773,66.9515638793864,"DPP6;DLG1","GO_Biological_Process_2023","pink"
"Positive Regulation Of Phosphate Metabolic Process (GO:0045937)","2/30",0.00982857782071015,0.123873687014681,0,0,14.4839650145773,66.9515638793864,"NELL1;SNCA","GO_Biological_Process_2023","pink"
"Regulation Of Cytokine Production (GO:0001817)","4/167",0.00988548635289574,0.123873687014681,0,0,5.04524539877301,23.2923219848272,"POLA1;RPS6KA5;CADM1;ZBTB20","GO_Biological_Process_2023","pink"
"Negative Regulation Of Chemotaxis (GO:0050922)","2/31",0.0104724512850622,0.129628512857783,0,0,13.9838142153413,63.7523090878691,"SEMA5A;SLIT2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","7/483",0.0106965164023371,0.130806796968339,0,0,3.07147375079064,13.9378477235269,"TGFBR3;MEF2C;PID1;GRK5;ERBB4;SCN5A;GAB2","GO_Biological_Process_2023","pink"
"Regulation Of Endothelial Cell Proliferation (GO:0001936)","3/93",0.0113729262286274,0.137422858595915,0,0,6.80756013745704,30.4741766581,"SEMA5A;NELL1;CNTN1","GO_Biological_Process_2023","pink"
"Regulation Of Potassium Ion Transmembrane Transport (GO:1901379)","2/33",0.0118145960439168,0.137836953845696,0,0,13.0803159973667,58.0559303610333,"DPP6;DLG1","GO_Biological_Process_2023","pink"
"Epithelial Tube Morphogenesis (GO:0060562)","2/33",0.0118145960439168,0.137836953845696,0,0,13.0803159973667,58.0559303610333,"MEF2C;SLIT2","GO_Biological_Process_2023","pink"
"Vasculogenesis (GO:0001570)","2/33",0.0118145960439168,0.137836953845696,0,0,13.0803159973667,58.0559303610333,"TGFBR3;NELL1","GO_Biological_Process_2023","pink"
"Cellular Response To Glucose Stimulus (GO:0071333)","2/34",0.0125124802245356,0.141112971421151,0,0,12.6709183673469,55.5116572102178,"UNC13B;ZBTB20","GO_Biological_Process_2023","pink"
"Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)","2/34",0.0125124802245356,0.141112971421151,0,0,12.6709183673469,55.5116572102178,"ZBTB20;SNCA","GO_Biological_Process_2023","pink"
"Semaphorin-Plexin Signaling Pathway (GO:0071526)","2/34",0.0125124802245356,0.141112971421151,0,0,12.6709183673469,55.5116572102178,"SEMA5A;NELL1","GO_Biological_Process_2023","pink"
"Action Potential (GO:0001508)","2/35",0.0132279832722483,0.14436992496056,0,0,12.2863327149041,53.1435584472206,"GNAQ;SCN5A","GO_Biological_Process_2023","pink"
"Regulation Of Postsynaptic Membrane Potential (GO:0060078)","2/35",0.0132279832722483,0.14436992496056,0,0,12.2863327149041,53.1435584472206,"MEF2C;GABRG2","GO_Biological_Process_2023","pink"
"Regulation Of Sodium Ion Transport (GO:0002028)","2/35",0.0132279832722483,0.14436992496056,0,0,12.2863327149041,53.1435584472206,"DLG1;SCN5A","GO_Biological_Process_2023","pink"
"Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)","5/284",0.0140533199676593,0.146389744133718,0,0,3.70137709866063,15.7859906570118,"NELL1;KIF16B;FLRT3;ERBB4;DOK6","GO_Biological_Process_2023","pink"
"Negative Regulation Of Endothelial Cell Migration (GO:0010596)","2/37",0.0147110875878219,0.146389744133718,0,0,11.5830903790087,48.8708399253876,"MEF2C;SLIT2","GO_Biological_Process_2023","pink"
"Regulation Of Ossification (GO:0030278)","2/37",0.0147110875878219,0.146389744133718,0,0,11.5830903790087,48.8708399253876,"NELL1;MEF2C","GO_Biological_Process_2023","pink"
"Calcium Ion Import Across Plasma Membrane (GO:0098703)","2/37",0.0147110875878219,0.146389744133718,0,0,11.5830903790087,48.8708399253876,"SCN9A;SCN5A","GO_Biological_Process_2023","pink"
"Positive Regulation Of Exocytosis (GO:0045921)","2/37",0.0147110875878219,0.146389744133718,0,0,11.5830903790087,48.8708399253876,"CADPS;SNCA","GO_Biological_Process_2023","pink"
"Synaptic Vesicle Cycle (GO:0099504)","2/37",0.0147110875878219,0.146389744133718,0,0,11.5830903790087,48.8708399253876,"SYT10;SNCA","GO_Biological_Process_2023","pink"
"Ventricular Septum Development (GO:0003281)","2/37",0.0147110875878219,0.146389744133718,0,0,11.5830903790087,48.8708399253876,"TGFBR3;SLIT2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Signaling (GO:0023056)","2/37",0.0147110875878219,0.146389744133718,0,0,11.5830903790087,48.8708399253876,"LGI1;SNCA","GO_Biological_Process_2023","pink"
"Muscle Cell Differentiation (GO:0042692)","2/37",0.0147110875878219,0.146389744133718,0,0,11.5830903790087,48.8708399253876,"MEF2C;SGCZ","GO_Biological_Process_2023","pink"
"Positive Regulation Of Bone Mineralization (GO:0030501)","2/38",0.0154783132235365,0.151062383864323,0,0,11.2607709750567,46.9384448645158,"NELL1;MEF2C","GO_Biological_Process_2023","pink"
"Positive Regulation Of Myoblast Differentiation (GO:0045663)","2/38",0.0154783132235365,0.151062383864323,0,0,11.2607709750567,46.9384448645158,"MEF2C;DPF3","GO_Biological_Process_2023","pink"
"Neuron Projection Development (GO:0031175)","4/192",0.0157977826439019,0.152711898891052,0,0,4.36879432624113,18.121259458719,"GPRIN3;LGI1;FLRT3;NYAP2","GO_Biological_Process_2023","pink"
"Response To Calcium Ion (GO:0051592)","3/106",0.0161412670571554,0.154264883445198,0,0,5.9444500050045,24.5290365178238,"MEF2C;SYT10;SCN5A","GO_Biological_Process_2023","pink"
"Fibroblast Growth Factor Receptor Signaling Pathway (GO:0008543)","2/39",0.0162624064321538,0.154264883445198,0,0,10.9558742415885,45.1261415257865,"FLRT3;KIF16B","GO_Biological_Process_2023","pink"
"Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197)","2/40",0.0170631829128301,0.158891106940574,0,0,10.6670247046187,43.4236674606069,"DLG1;LIN7A","GO_Biological_Process_2023","pink"
"Positive Regulation Of Monoatomic Ion Transport (GO:0043270)","2/40",0.0170631829128301,0.158891106940574,0,0,10.6670247046187,43.4236674606069,"DLG1;SCN5A","GO_Biological_Process_2023","pink"
"Cellular Response To Salt (GO:1902075)","3/109",0.0173780716412014,0.160352206507449,0,0,5.77533553783311,23.4048136142864,"MEF2C;SYT10;SCN5A","GO_Biological_Process_2023","pink"
"Heart Contraction (GO:0060047)","2/41",0.0178804597481127,0.162041666467272,0,0,10.3929879644165,41.8218699251635,"SCN5A;SGCZ","GO_Biological_Process_2023","pink"
