"gene_name","module","color","kME_pink","kME_blue","kME_grey","kME_magenta","kME_purple","kME_green","kME_darkgrey","kME_darkorange","kME_red","kME_turquoise","kME_brown","kME_yellow","kME_grey60","kME_lightgreen","kME_cyan","kME_tan","kME_paleturquoise","kME_saddlebrown","kME_lightcyan","kME_orangered4","kME_white","kME_darkturquoise","kME_skyblue","kME_mediumpurple3","kME_salmon","kME_darkred","kME_black","kME_plum1","kME_orange","kME_midnightblue","kME_darkgreen","kME_sienna3","kME_royalblue","kME_greenyellow","kME_steelblue","kME_lightsteelblue1","kME_lightyellow","kME_yellowgreen","kME_darkolivegreen","kME_violet","kME_skyblue3","kME_darkmagenta"
"Pcmtd1","pink","pink",0.217862274295988,-0.0218861037256382,0.197442052135446,0.142554718017693,0.0381650453351997,0.176454089128001,0.0568227852451152,0.118433279122722,0.17136506877276,-0.203292221249188,0.0743307267892754,-0.0299707126997561,0.0933429890038301,0.105948864416798,0.226507784332371,0.0821590455130603,0.0151287716371596,0.115339206414201,0.0747709191621737,0.0222633010559196,0.00335510387828018,-0.0304742568803487,0.101637312488195,0.102987613563085,-0.0112163255019715,0.0714984194590866,-0.082957745164613,0.12492882982689,0.122351070751001,0.0614846441692328,0.15247887652894,0.0485348301143113,0.130169760558635,-0.151007372466343,0.0831099429814193,0.0863551945356272,0.0762949407904037,0.0925880767854871,0.0810363741799832,-0.0257439431355479,0.0056973621409918,0.0859154073416988
"Gm26901","pink","pink",0.114741468005633,-0.00866283426513855,0.127173062758267,-0.00603518247385678,-0.0114538724033146,0.0570744940033195,0.0775582729696558,0.125870326747578,0.0873558572531212,-0.0283932393064494,0.0509900954014514,-0.124705451361186,0.200593643033762,0.0212211545830906,0.0715485953462651,0.0960956410031004,0.0871099440703607,0.0674439595221164,-0.120665997459808,-0.012165541899046,0.0357961880775608,0.0684125177883081,0.117872306843751,0.0172978105514427,-0.0344700411248396,0.088520400263742,-0.0308374280684241,0.131499805176476,-0.124146825391465,0.157445979609227,0.0752470289059782,0.011788664963454,0.0621571290907298,-0.065926183819201,0.00393932421085625,0.0288510960199317,-0.045805900322171,0.0243424528423288,0.058518020500514,-0.0267603980906548,0.0874524694230176,0.0514227259360342
"Sntg1","pink","pink",0.19991977887247,0.0747497209216911,0.227204782247966,0.132738037238286,-0.0614654878224834,0.199091779276677,-0.00448176651207658,0.12939728573284,0.213144978445264,-0.248283709856919,0.0191523630771381,-0.0282331161600799,0.169422953013672,0.126151354512844,0.311069756766614,0.0648980210309236,0.00791103869484683,0.196570875890293,0.170746279890339,0.045191188954931,0.0720182978002634,-0.123980858362041,0.0943034393089807,0.00375732993845134,0.024711979805022,0.0853333971170517,0.0727007618093653,0.161310086122488,0.0447709375345425,0.0872850562214881,0.149627640357844,0.0789015427230748,0.0735932070187501,-0.079925338590387,0.0109431258584628,0.0665564528556114,0.0940105248770208,0.0329441365522213,0.109971918182289,-0.133723600692615,0.0204022942269498,0.142635436685502
"Adhfe1","darkgrey","darkgrey",0.00959445094771657,-0.0293908459135021,0.0631449900087932,-0.0375440739464686,0.0785027253248292,-0.0193016928603595,0.260114288136215,0.0654490878755639,0.00775194729216554,0.0920197905688714,0.0925524334197197,-0.0200878829757653,0.052430125530557,0.0438012408171555,-0.0806681843389186,-0.0173446540402108,0.0717196294846621,-0.0104818475576639,-0.0384399813442687,0.0390617022797801,0.00754939963681486,-0.00148023236643573,0.0603370377687341,0.0194022337773192,-0.0162149354173116,0.0913891267104812,-0.100750222942338,0.0633706435759446,-0.0196802031972175,-0.0407554825634071,0.00333599486674274,-0.0353656415062195,0.00482250788062509,-0.0285374237462269,0.0166025506413813,-0.0388103459566956,-0.0155038123258636,0.00837618974254584,-0.0135255625787071,0.0681108086087109,0.00521246742257666,0.075384638524342
"Vcpip1","grey","grey",0.0432824248773105,-0.0497462960578339,0.0733139588452194,0.0064717344463309,0.0756937302917949,0.0765301295710143,0.0680198138563405,0.00781724547339212,-0.0340360174923086,-0.00707328651116963,0.073898597341133,-0.00553456808491237,0.0445628568858475,0.0167067633638052,0.0462267262492113,0.0180145959839897,-0.00594896432037984,-0.00137950638133715,0.0107774543785588,-0.0315810742526151,0.0234158909415804,0.0110403009318757,0.030641275210931,-0.00175142177082442,-0.0126989693193917,0.0511513775964519,-0.0420976149473432,0.0442774529330507,0.0304188802185556,-0.0207478479163202,0.0213928263354019,0.00722968066676494,-0.00427956261668311,-0.0608670253845607,0.0285904028402638,-0.0174830214805177,-0.0209238860695548,0.042737945366584,0.0357501339809706,0.0248981513524513,0.027925037888472,0.0181131605940374
"1700034P13Rik","grey","grey",-0.0236506292031839,0.0243292237997895,0.0662431291712694,0.0132150027780865,0.0583657054249036,0.0285763788310202,-0.00479370810987225,-0.00991177358723297,-0.0153884204961391,0.0280575360513681,0.0292292331198917,0.054181741314047,0.00190247413295485,0.0145822950657564,0.00851570876545263,0.0436919631120813,0.00194475071274424,0.0313858752641542,0.0243468856641961,0.0139368920776208,0.068966910760878,-0.0451737652326698,0.025743673074276,-0.0440868988849213,0.0263176093618791,0.0230913920281768,0.000620000355308004,0.0370540567261072,-0.0131164959729022,-0.0233609665156781,-0.0454146391378388,-0.012380788319479,-0.0189573659292659,0.0646420581055158,-0.0397660198157964,-0.0348927212249708,-0.00598617155448513,-0.0384091253623732,0.0199831326425029,0.0999360369607203,-0.0239487539868083,0.00728203023866695
"Sgk3","darkorange","darkorange",-0.017059344705057,-0.0678246969822283,0.142555112065898,0.0257039817052263,0.0860778032347062,0.0705511696612815,0.0645363022069661,0.197599707731806,0.0970925854479886,0.041855491578778,0.0462967632209954,-0.0152885269789615,0.0750286592151775,0.0106094816561757,0.0162093226020017,0.0359015743841324,0.0334869327962854,0.0169026950465499,-0.0146801736086368,0.0583605536919919,0.0390124909099739,0.0900873438345013,0.046274159258281,0.0275025367621493,0.0723113537500173,0.0615087040265141,-0.0120038004822718,0.0285873098035203,-0.062378511214531,0.0380666630723327,0.0780243975917549,0.00733263791522549,0.0575669632867783,-0.0385930611142523,0.0528990233702531,0.0131975909764522,0.0228797778605396,0.0600081859758208,0.0528446441740508,0.0539298334157938,0.0377739447901021,0.069749623002015
"Mcmdc2","red","red",0.0542031171106203,0.0494745588990815,0.0716408238342601,0.0831359532094436,0.0271754311631846,0.10609292868321,0.0178039214610899,-0.0333625379837788,0.141219196916334,-0.145394732407872,-0.0103405990703118,-0.0138166863599662,-0.0096516298315169,0.0581084603480939,0.12168546862749,0.00333082254580133,-0.00482956933385462,0.00862478306876582,0.0740071256167522,-0.00949275752452615,-0.0347146929078394,-0.0598520928093751,0.0578064055040973,0.0575743888299848,0.0972804867292663,0.0343193285915925,0.0207700920036948,-0.0416973704232233,-0.0218069849463299,0.0105678332820305,0.0721517099302392,0.0530750954365272,-0.0155226768834843,-0.0131212281200624,0.00199100192249607,0.0589554516485089,0.0757948874414158,0.0325361428063141,-0.00485321547726397,-0.00836254648123862,-0.0344058924781472,0.0370100300033973
"Snhg6","grey","grey",-0.0199327509916843,0.0382635103882828,-0.0526674128712894,-0.0382031942626544,-0.0159218769309086,0.0389571851226363,0.0444889822269858,-0.018129976312597,0.0187116079396221,-0.0575367964360274,-0.0172234622035681,-0.0196929594591033,-0.0070435762896343,0.0314971823092148,0.0197027235886219,0.0218647823713271,-0.0464240913393803,-0.00462767396093317,0.0219782535238227,-0.0585937696852405,-0.0306653663220561,-0.0463547432386325,-0.00415647082922687,-0.0512532886735019,-0.0260880166921135,0.0083973705788781,-0.0197263373443231,0.0134258518149772,-0.0189384509486334,-0.017131409132058,-0.00762061761459853,0.0533582018234374,-0.0523727710836241,0.0175905372557732,-0.0399273193216199,-0.0169728706152318,-0.0202821778098248,0.0207263341674831,-0.0340475089734829,-0.0125119782174541,-0.0193801665252485,0.0618767663898996
"Cops5","grey","grey",0.0226328939762234,0.039363799915544,0.0861163048336054,0.0438967204674392,0.00253278365164381,0.0131014338748431,0.0697857276510918,0.0786634305370184,0.124547791469983,0.0261228382541008,0.0350618151392385,-0.000368204033540893,0.0343749439274887,0.0503696961448994,0.039951997117459,0.0620880898788852,0.0762886748783986,0.0230130810204295,-0.000726430569385522,0.0524422130286548,0.0288115605804374,0.0445294008365299,0.0460589148285056,0.0252309782241143,0.017317246696556,-0.00871329309749142,0.0259630763727936,0.00270594919876936,-0.039033133993706,0.0130313033634799,0.0482355348003154,0.0233213049997074,-0.0111122072822677,0.0140902348084381,0.0163495079395812,-0.00911507064639666,0.0251107176173089,0.0203233739446943,0.0235997769644981,-0.0196571758236453,0.00349252044764115,0.0251397745643651
"Cspp1","magenta","magenta",0.099492901441724,-0.0717574935747891,0.171180693781483,0.238706065439889,0.111454610145296,0.115337524528396,0.0117318876379236,0.0686731307669209,0.08600305442492,-0.0906026272795378,0.123321390380764,0.0354188121994511,-0.0417242853690988,0.119263076207108,0.134639997772502,0.0436863559021479,-0.000812420840827716,0.0012245932519417,0.131970204507061,-0.0360789111175675,-0.0547796688292997,-0.00764335653779118,0.050138020399966,0.00587742611162268,0.0809928572673683,0.106238694518394,-0.0551367482438653,0.00610285705742726,0.124267340796859,-0.0859852164309004,0.0931002270895364,0.0740819885684009,0.0376152570007516,-0.0189560064369427,0.0368172100710943,0.0813741451771533,0.0743648650427327,0.0649999752383685,0.0641435699600438,0.0565414159468289,-0.0644705105093069,0.100088570734226
"Arfgef1","turquoise","turquoise",-0.022984376719208,0.0240480704760652,-0.0420503574551878,-0.02828203579427,-0.0445643829999846,-0.0931698648368796,0.0439155004170493,-0.00366207398157936,-0.0194485543482462,0.110536178183848,0.00159647945049853,-0.00173027502083987,0.0373747286613114,-0.0333144390366331,-0.0702051894215092,0.0322809293561632,0.0222362096911176,0.00361943848459794,-0.0546680596284043,0.0561203551774688,-0.0251915931933257,0.0172046147464217,0.039005250351142,-0.0418945971000617,0.0350328855815141,0.00185132475600259,-0.0379349136814648,0.0689165078895853,0.0654179615133579,0.0134195820143881,0.00162903562106955,0.00864411254557186,-0.0228874445099923,0.0282277338171419,0.0538400776508765,0.023331675863621,0.0446209497952737,-0.00482768214623783,0.04378011518515,0.0151451740749397,0.0481398148465978,0.0412483874394891
