"gene_name","module","color","kME_purple","kME_grey","kME_green","kME_greenyellow","kME_black","kME_blue","kME_yellow","kME_turquoise","kME_tan","kME_brown","kME_magenta","kME_red","kME_pink"
"Maf1","grey","grey",0.0392156916165931,0.0578074751441547,-0.01062321049698,0.0367249554278472,0.0197719007397405,0.0245976972596641,-0.00393906920130695,0.0350571957346468,0.00253443928724602,0.0373279016850733,-0.0095375752538839,0.0444581814774253,0.0133667607595608
"Hgh1","grey","grey",-0.0155123590319082,0.0243030258536886,-0.0254194700393974,-0.0162878360082521,-0.0365303970783836,0.0107583506744663,0.0372534977405373,0.00257350812026798,-0.0118311161450212,0.036507910757659,0.0180978864671325,0.023211346289562,0.0342081902279378
"Mroh1","blue","blue",0.0391360275384436,0.0499085674014555,0.00935315744257902,-0.0596016097176171,-0.0956985586574683,0.213649948338,-0.0199526227140403,-0.103659226845588,0.154847084577408,0.0243521556282526,0.0566672699688766,0.0996586510200386,0.158101465812877
"Bop1","pink","pink",-0.0435616076793115,0.0699067928359282,-0.052371554027583,-0.0387743632358446,-0.0529948403915579,0.0254466329547107,0.0878071297548256,0.0238401324354696,-0.0189757018734131,0.0710996167485173,0.0588797322299571,0.0440301467705682,0.123392496933868
"Hsf1","grey","grey",0.0375889866787631,0.0894497278349012,-0.0732295294615951,0.0484277862938925,0.0134979349233545,-0.00784004639737015,0.0517741240653123,0.0965805380252229,-0.0546276136378835,0.00486344481804729,0.00464257688884126,0.0638407028496962,0.03379208924152
"Dgat1","grey","grey",0.0486936980866541,0.0661947971830292,-0.0350454097298431,0.0369655888416008,-0.0261677327566825,0.050634792775286,-0.0163259269821536,0.0301823935391933,0.00218306892175102,0.0116548213193878,-0.0369041006055732,0.0797936149641809,0.0136878936594215
"Scrt1","grey","grey",0.0261857380547244,0.099969207611323,-0.0828533123114052,0.0199402195874859,-0.0469184234739027,0.0565132281203682,0.0401245821457226,0.0592395990184897,-0.0157032540815729,0.0337301979702208,-0.00573768198389672,0.101335739500888,0.0755165653872356
"Fbxl6","grey","grey",-0.0317017963530665,0.0235680739964658,-0.0507817655323651,-0.00510796595882784,-0.0211914756325959,-0.0314163854571684,0.0464984763008649,0.0401414006090056,-0.0589298328207359,0.0519353676215119,0.00271643286591882,0.00478072488064394,0.0316476195854533
"Slc52a2","grey","grey",-0.0148499652200538,0.0169696401604142,-0.0339322883487144,-0.00839416233755341,-0.0125430592172636,-0.00359688472504618,0.0415061490472053,0.0140336523094259,-0.0299251629344521,0.0416768569675482,0.0169536600864348,0.00963637344927275,0.0360684833161741
"Adck5","grey","grey",-0.0058257260107783,0.0393382573353152,-0.0808281055302307,0.0108294209061519,-0.0391209395313603,3.01264445809348e-05,0.0454121880224722,0.0489274639929047,-0.0533262040891032,0.0288576065156081,-0.00286765859494733,0.0489370913270111,0.0408641609537642
"Cpsf1","grey","grey",0.0111318719910913,0.0808447126459996,-0.025586814595301,0.0112621138967801,0.0058800441810479,0.0337644296830251,0.0523857128304391,0.0393162656376056,0.00791505077679656,0.0145548505775225,0.0442579404607545,0.0449919398338462,0.0564422273103143
"Vps28","brown","brown",0.0443027614168051,0.0351507129644387,-0.118983503449046,0.047890696549402,-0.110364813577105,0.0316511398460315,0.000831536866469243,0.0301121612468086,-0.0484718024478543,0.242566091229973,-0.0837004268303121,0.081657034869362,0.0265926759067381
"Tonsl","grey","grey",0.0565724122291972,0.0724752380658871,-0.0519835904756165,0.0598763861287874,-0.0514428952510338,0.0640423116734771,0.0110533273406044,0.0342326567324873,0.00155088215642096,0.0223743890444198,-0.0143180834149104,0.0836881484733366,0.0476386887047218
"Cyhr1","grey","grey",0.0731585958822637,0.0714239938163581,-0.0697929918008414,0.0723745462162611,-0.0478651643635542,0.0387836153383393,-0.00225164898296183,0.0537920605366764,-0.0166153480139153,0.0839164118362046,-0.0594126114518449,0.0805162440910168,0.00833642031035631
"Kifc2","blue","blue",0.10056727206352,0.163131017010967,-0.2145346789666,0.0901836010500315,-0.195658153541936,0.179686626234847,0.0319769072456462,0.065134072478865,-0.0157145159605343,0.104928439399167,-0.0584640312656349,0.258355291898589,0.159238608059711
"Ppp1r16a","grey","grey",-0.0467898481712877,0.0293913284413452,-0.0345203945683194,-0.00489501458668788,0.00627124400669839,-0.0527632787450841,0.0805628641454513,0.0480739613424359,-0.0687022708944958,0.0228676165054166,0.0479732495006088,0.00163832384993528,0.0330340434604981
"Lrrc14","grey","grey",0.00779454415371308,0.0270402152079089,-0.0281162417228437,0.0277233771348966,-0.0149916329041112,0.00626947722299395,0.00977822505459743,0.0261295532696431,-0.0177994781878201,0.0334453322067781,-0.0044170076526529,0.0383812110870624,0.0228949196004869
"Lrrc24","grey","grey",0.0408556131904065,0.0604593905475775,-0.0638426038365426,0.0432918900921838,-0.0479864946659849,0.0419821522207002,-0.000816778712668558,0.0438309455356348,-0.0156383810271008,0.0462225448585539,-0.0300635019379012,0.0667060911333032,0.0409600897767425
"Arhgap39","turquoise","turquoise",0.0777678652892512,0.221464310292155,-0.173129869472341,0.141228811392421,-0.00744555118496447,0.0207053418313871,0.118626209011894,0.212173963835615,-0.115238743809552,-0.00320996516542049,-0.00874229643267902,0.204031992776255,0.109724750376592
