"gene_name","module","color","kME_red","kME_brown","kME_blue","kME_grey","kME_yellow","kME_black","kME_turquoise","kME_pink","kME_green","kME_magenta"
"Kcnq5","red","red",0.295571494509217,0.0615019189922345,0.0780374416867692,0.16559136197419,-0.212858191274194,-0.0854740177861374,0.0945608100725259,-0.0634962837012198,0.205248998560378,0.245436322103006
"Rims1","brown","brown",0.15417504960075,0.559104791216706,-0.0731204031465704,0.150285691950341,-0.046965129459661,-0.253120328902843,-0.298273553302202,0.423779440598037,0.247448112450608,0.158794458376334
"Ogfrl1","grey","grey",-0.143866471216302,-0.112835051255699,0.0921484614810522,0.0314154161036319,-0.0254481452236029,0.0828702654588529,0.126362606799507,-0.125873102521882,-0.00851081421658149,-0.161545015599058
"B3gat2","grey","grey",0.0764982109415784,0.0687905732499725,-0.000543465476970292,0.116282775796398,-0.0546712670021019,-0.0115390546241622,0.03819328314412,0.0192095882083747,0.120023584153434,0.0121888817817178
"Smap1","grey","grey",0.015108007961632,0.0620663594109307,-0.0194552193573064,0.156926395500246,-0.0523255492005025,0.0312438137479771,0.0791751509547817,-0.00864629977872718,0.13639790927157,-0.023137143302209
"Sdhaf4","grey","grey",0.0193328387885763,0.0165807283161622,0.106623858836811,0.0928801106543629,-0.0659541096283613,0.00497195906452887,0.0620216120454604,-0.0540311207155145,0.0741483442222529,-0.0245459679947437
"Fam135a","grey","grey",0.0993923781688564,0.0742397765464388,-0.0261338428702817,0.160609169407885,-0.0559209536431688,0.0246941305709003,0.0583251717784317,0.0181647875028067,0.140940643620117,0.0845464524197652
"Lmbrd1","yellow","yellow",-0.112307520497637,-0.112848521637894,-0.104513963503069,-0.024469179854146,0.223745907270445,0.201652512449468,0.013264209366771,0.0265327559044527,-0.122655663801886,-0.0479301786920821
"Adgrb3","green","green",0.138606571504705,0.245780395790198,0.0712041367503844,0.467899483578193,-0.418726652878498,-0.109900767123104,0.280759046317509,-0.134901272309193,0.540776398562908,-0.146884419773079
"Phf3","grey","grey",0.00859215170267829,-0.0798226921164419,-0.0405147224362773,0.0911661876912085,0.0138813498690705,0.117808055683496,0.116835582543096,-0.0733241966711542,0.0319469188334192,-0.00355038633134382
"Ptp4a1","grey","grey",-0.112522270846975,-0.107090142183007,-0.0932799076319422,-0.0373341636110211,0.104242071279378,0.125775991897365,0.0470715871898088,-0.0162033974602405,-0.0921634959437846,-0.0593683255187758
"Khdrbs2","grey","grey",0.376544755293279,0.190903912763475,0.0099592650225816,0.243532026321481,-0.195454211494895,-0.0979721076232775,0.0388893208246778,-0.0112716031885179,0.290379511427631,0.202337870972287
"Prim2","grey","grey",-0.00278929260864153,0.056277855638734,-0.0579643237933773,-0.0162330664412901,0.0640697837981322,0.0103687452771192,-0.0702838632171878,0.0886520869270761,-0.0273963154655058,0.0400109167144067
"Rab23","grey","grey",0.0393128806122885,0.0705272459324202,0.0196326114571338,0.0274615804380426,-0.0407733843839593,-0.0603062029247397,-0.0286177334641315,0.0229057077074045,0.0458931065490464,0.0192033478459893
"Bag2","grey","grey",0.0057149340203346,0.0938013538024722,0.0446181637556397,0.012947957742675,-0.0358451741786215,-0.0738580580369584,-0.0477145444616675,0.0665027384254869,0.0430255737393404,0.0290434197174853
"Zfp451","yellow","yellow",-0.0533128696864748,-0.0364306029762428,-0.112692096279708,0.0442613126818435,0.146460495187823,0.156977497766139,0.0263542666229543,0.0405440521369045,-0.0295159256850798,-0.0162480965281636
"Bend6","brown","brown",0.160890569244858,0.240043541067215,0.0396644802496363,0.165073789867113,-0.126975165522164,-0.136312325496211,-0.0447668283019447,0.102106252979874,0.217292322195897,0.0833136968077747
"Dst","yellow","yellow",-0.0492169840128041,0.0709582622193485,-0.212168759173842,-0.0679521666077558,0.337391184769316,0.179806175366949,-0.162226893425687,0.260304548045186,-0.13260585971318,0.0644918099521595
"Ccdc115","grey","grey",-0.00944569650096782,-0.00556120556157029,0.0436725157656657,0.0617295428296731,-0.0507896424415533,0.0211146444431041,0.0675466982718795,-0.0654880067518952,0.0635989907912801,-0.0463711190477742
"Imp4","grey","grey",-0.00172405211613479,0.019213433462477,0.0103647515348335,0.027753100025922,-0.021741860982182,-0.0141364719152184,0.00717432046706535,0.00910338832486918,0.0295002266180333,-0.0164421691113467
"Amer3","grey","grey",0.0158591750235262,0.0106411900517643,0.0447098392105766,-0.00625815268641195,0.0162873946933915,-0.00325907812801828,-0.0254632558519908,0.0187984344517574,-0.0115254496873354,-0.00102003223833095
"Arhgef4","grey","grey",-0.023663424418198,0.0125467968838928,0.0184948773012933,0.0313597246886462,0.023700442807126,0.0380461675724735,0.00952793980454455,0.00810483391009418,0.015582681664614,-0.0119876655893295
"Fam168b","grey","grey",-0.0259666864293321,-0.0406004281826405,0.0322188510909857,0.0183746313248237,0.0449924929905185,0.0725075053516311,0.0240131958238009,-0.0193404249420103,-0.0217857966933103,-0.0203260986247794
"Plekhb2","grey","grey",0.0142508745520477,-0.00904542500810282,0.166051729832156,0.0786490894938736,-0.0726834718511572,-0.0234382803707906,0.0694514239771754,-0.0763408631042804,0.0752897882569213,-0.0591008346114713
"Hs6st1","yellow","yellow",-0.0631489659042983,0.0108911414250377,-0.0912873998689134,-0.0916670540319427,0.185365204007683,0.0662073048781068,-0.11236379986333,0.148195768609316,-0.130284332409527,0.0420194593846237
"Uggt1","turquoise","turquoise",-0.00518171457858153,-0.0296656731792264,-0.0546366196328887,0.153574670584346,-0.0404781561642116,0.0868076988547122,0.143310502188429,-0.0736236964625664,0.101143184194309,-0.0548533371389744
"Arid5a","yellow","yellow",-0.100082108929515,-0.0970291917449921,-0.131606595485906,-0.253038159297743,0.366318193041838,0.1660433162177,-0.185317268427687,0.196068586400718,-0.324043110011304,0.0797116930209229
"4930403P22Rik","grey","grey",-0.00979531629244986,-0.0292694983842884,0.000600875240623057,-0.0173174881098286,-0.0227414139641307,-0.00472058775650615,0.0164800748564507,-0.0393426115032205,-0.00920838069144326,-0.0224273068709919
"Kansl3","grey","grey",0.000413642746969603,0.0742284169003936,-0.0520179659330005,0.116136337864397,0.0300035838953146,0.0628866067618254,0.0168433082681148,0.0602842702721055,0.0830628102051681,-0.0021043987467733
