"gene_name","module","color","kME_pink","kME_grey","kME_black","kME_magenta","kME_turquoise","kME_green","kME_blue","kME_brown","kME_yellow","kME_purple","kME_salmon","kME_red","kME_greenyellow","kME_tan"
"Sulf1","grey","grey",-0.21476349712664,0.00310523017000018,0.0880210992831297,-0.191065648709279,-0.167269546607994,-0.197448838670339,0.107755636757989,-0.0257558286027607,0.054447678990021,0.0992638475632582,0.344795913534403,0.223309680994401,0.202937545970161,-0.216089177316805
"Slco5a1","grey","grey",0.0330318226453852,0.0507759149987876,0.03587255007217,0.0856239472459981,0.0187403690090106,0.0481174069042042,-0.00574127252549528,-0.0299474982051591,-0.0305398969519729,0.0511542192239556,-0.0360607923850009,-0.0108447847522517,-0.00399459375577996,0.0508823728328631
"Ncoa2","grey","grey",0.0300814359945225,0.152547220047202,0.0389592104392731,0.0522544299854039,0.0940174357974799,0.0945854032037217,0.00242000444585713,-0.0771903775927225,-0.0881737102612026,0.0104028623067602,0.0741677098732026,0.0393953360288345,0.0596588494429697,0.0365394514801899
"Tram1","grey","grey",-0.00218207614658104,0.0243172689627963,0.0404242595605216,0.0105251295717987,-0.0341604444102757,-0.0363086031051605,0.0376727987560622,0.0199651368742462,0.0420684928178098,0.0355321859735815,-0.0275609713154373,-0.0318495674358887,0.00238151546270472,-0.0280768552917602
"Lactb2","turquoise","turquoise",0.0226645733087397,0.0762086048585564,0.0583424732254842,0.116623216476841,0.180308614049633,0.117088730491972,-0.123281461172465,-0.0289516372845191,-0.093997498166385,-0.0339076004400024,-0.0229109777958915,-0.0372624340601668,0.00739931234148455,0.0684532031796866
"Eya1","green","green",0.390202925912215,-0.00771700127526387,-0.0646100813410358,0.212781550551668,-0.0498384127557743,0.498028667188299,0.0201424209549685,-0.0187215560665299,-0.0071064939267022,0.042640255894252,-0.213147786833612,-0.176846608115524,-0.119656436878025,0.140082077928022
"Kcnb2","pink","pink",0.487880515141358,0.1641744972253,-0.192217752947584,0.166400855482515,-0.144669433658542,0.285260547390062,0.233265218722143,-0.127506919914433,0.0149513575946842,0.0716015045821072,-0.274790305793564,-0.216140154055392,-0.295943137744438,0.208603842289598
"Terf1","pink","pink",0.125344123543044,0.0847137336204429,-0.0525960749785466,0.0442245478283469,-0.0277592508470126,0.0752826124830593,0.0787051379204661,-0.0457309088808867,0.0131926069104067,0.0226747340801311,-0.0381402968012842,-0.0524768057920475,-0.0753026192014138,0.0516994676000029
"Sbspon","grey","grey",0.0399261673825288,0.0910221077809319,0.0236515492679068,0.037669079522292,0.00725697204561134,0.0370573772157691,0.0339192251079408,-0.0393392446212166,-0.0275209911166426,0.0439004646056409,0.00632010656487016,-0.0117447929806156,0.0119589793000177,0.0129082160020917
"4930444P10Rik","grey","grey",0.107439919218162,0.043685494930553,0.0236230757339278,0.085907942493556,-0.0491477189785051,0.0864256042052847,0.0779194628191187,-0.0212590737581035,0.0197534157612563,0.0832256018823838,-0.0176261810592078,-0.0728622664220527,-0.0218369558452668,-0.0255241995160396
