"gene_name","module","color","kME_yellow","kME_grey","kME_turquoise","kME_blue","kME_red","kME_black","kME_green","kME_brown","kME_pink"
"Adgrb3","yellow","yellow",0.507362960739976,0.181814425646957,0.203716199007727,-0.0856850020689109,-0.153545506628879,-0.176678315702265,-0.184781618715453,-0.396108842199648,0.395959928127343
"Phf3","blue","blue",0.109372430103371,0.175976629140192,-0.1037846892221,0.132305751262095,0.0252572460906356,-0.0262120479210715,-0.142983419046017,-0.0628328377535364,-0.0176068778748186
"Ptp4a1","grey","grey",0.0135014390424461,0.0456593586833605,-0.0200400793447748,0.0528317878154308,-0.0335222058836493,-0.0287827260955186,-0.0122894766435425,0.0280506148756169,-0.0334583062229766
"Khdrbs2","turquoise","turquoise",0.285193566476338,0.122034624755437,0.247185509821279,-0.253302545181371,0.324279914937966,0.251617719868319,-0.0683689078315553,-0.286633197264812,0.0992061502240233
"Prim2","grey","grey",0.0770319862083784,0.0204864557598543,0.0807319642773461,-0.0659633232768914,0.0182869235558412,0.0377832474157853,-0.00320471385066967,-0.0460864106519467,0.0475202888819915
"Rab23","grey","grey",0.00821094838544183,0.0280092551855566,0.0351968520929057,-0.0222808377980924,-0.00961009211361548,0.00786129087490077,0.0441162665699628,0.0324566015942055,0.0158253413590107
"Bag2","grey","grey",-0.00398996320465972,-0.0577647902373961,0.0818263184463401,-0.0550025500966117,-0.0525638155720589,0.0102919283944018,0.0897300985749916,0.0439314012392657,-0.0051178582453312
"Zfp451","grey","grey",0.0070322790805179,0.100015705030708,-0.0941715624662792,0.119221245529709,0.0229394976002913,-0.0175843997286209,-0.0457515700078413,0.0509777178878261,-0.0670480907815707
"Bend6","turquoise","turquoise",0.104352873795815,-0.0976092380336065,0.275457394976693,-0.25301803806648,0.00825432553963114,0.114422410481074,0.150369828111496,-0.0564739840639987,0.0890909077197447
"Dst","green","green",-0.0981122596143593,-0.283938756254031,0.319717042633437,-0.283101207667069,-0.0746664996271674,0.0848062058102382,0.444771562004823,0.211628512059709,0.0850530949801397
"Ccdc115","grey","grey",-0.0255833207544033,-0.00933436744843224,0.00453181094244248,-0.00253819813355448,-0.00440841444876665,0.0248784631364332,0.00597665562080434,0.026697004723634,-0.0585395308931468
"Imp4","grey","grey",-0.0271919789267778,-0.0362718613423265,-0.0189920616554374,0.0230712200625644,-0.0363826073475091,-0.0213664814762615,0.0161165949225165,0.0388518403701819,0.010943395821387
"Amer3","grey","grey",-0.0161110581012111,-0.0316274563524889,0.0245436492246857,-0.0258416857565513,-0.00899692350155845,-0.0093782817331973,0.0368579201559269,0.0153248795561452,0.00814882956353656
"Arhgef4","grey","grey",-0.0473748682882546,-0.0476418840209015,0.0313048789546202,-0.0113581800963156,-0.0484144613222947,-0.00563768115123184,0.0728759372206849,0.0893818870539507,-0.0142388822743362
"Fam168b","grey","grey",-0.00990875061376757,0.0433309480198329,-0.0772869151847796,0.090809595310237,0.00561913299249619,-0.0163668786646676,-0.0227111316099834,0.0555893899689262,-0.0197811091831966
"Plekhb2","grey","grey",0.0159189021085694,0.0756582595156998,-0.0530401845708308,0.0634381433416578,0.0177771606370648,-0.0415999212029831,-0.0330320419915621,0.0334181107200086,-0.056040133787856
"Hs6st1","grey","grey",-0.0437353847009271,-0.0454107659534956,0.0413007237201886,-0.0451327424439082,-0.0104304475082503,-0.00775936733765169,0.0878417183809741,0.0612814768826631,0.0628809609966742
"Uggt1","blue","blue",-0.0495381810417542,0.0406224651186241,-0.0837320845088952,0.104038341538885,-0.00713693121843954,-0.0280368531940178,0.00808987040610794,0.119162588428722,-0.0155657430436922
"Kansl3","brown","brown",-0.0630308134339318,-0.0649093021520565,0.0339605621454024,-0.0205223110144979,-0.0494973751613661,-0.018864485999647,0.101339605557584,0.11279794781117,-0.0119310455350781
"Lman2l","grey","grey",-0.0234157014613599,0.0487629914490262,-0.0651644382624814,0.0849268263122268,-0.0265056571131866,-0.0289741070715934,-0.00350260574274582,0.0784793240785266,-0.0172514003765118
"Cnnm4","grey","grey",-0.0134896549900265,-0.059922193803233,0.095155977583434,-0.0769656257831623,-0.0233103585979195,0.0315620859131585,0.106875258705173,0.0642238080214782,-0.0176570760422036
"Cnnm3","brown","brown",-0.063184998576747,-0.0593524163906288,0.0165315124263753,-0.0329398212960966,-0.0210293887415743,-0.0253047488228757,0.0925831298774498,0.109371242106909,0.00546613645859554
"Sema4c","grey","grey",-0.0266042837906352,0.0147052497943235,-0.0636325627278963,0.0611158934089983,-0.000955256208358384,-0.00441025260364855,-0.00129758766184753,0.0586437692055932,-0.00564050301619745
"Cox5b","grey","grey",-0.0291898214153081,-0.063911352175595,0.00435519883738398,-0.0276525229047656,-0.0322549855483096,-0.0152625547079903,-0.00529885646625829,-0.0173101988749262,-0.0336912560090751
"Actr1b","grey","grey",-0.062320788841561,-0.0435176132292512,-0.00916840445704194,0.00301277912269472,-0.0291057281621364,-0.0244084084406345,0.0788656408237525,0.110585026262383,0.0272700599442238
"4933424G06Rik","red","red",0.0466833577474591,0.0647297689885899,-0.0165801236397061,0.00388536556200948,0.0867178356740176,0.0847191464919347,-0.0521115655787162,-0.0418490550857058,-0.0108958792519982
"Gm33533","grey","grey",0.0493146719730988,0.0777496313884866,-0.000714788660319374,0.0102017693576106,0.0602858440281724,0.0709194513507972,-0.0487962612362766,-0.0257405529751234,0.0216774486177236
"Tmem131","blue","blue",-0.0155083304441316,0.136020352200946,-0.135315641248901,0.178175563458738,-0.0122031228801029,-0.0467250725931925,-0.0476548694413659,0.105790852879646,-0.0941367565886606
"Inpp4a","blue","blue",-0.107223069582575,0.150342400478326,-0.264678812889626,0.315160486959661,-0.054579637990247,-0.126354737887966,-0.0457851408078177,0.175238930249626,-0.131164633985592
"Coa5","grey","grey",0.0353342929677711,0.0370322214187769,0.00122938094640184,0.0259884314566107,-0.0530625927058126,-0.0286329851138259,-0.0186221295170669,-0.0194845341941375,-0.0368210092204918
"Unc50","grey","grey",0.0294351594260588,-0.0143831076935005,0.0383606657727501,-0.0246712347215562,-0.047398052654098,-0.0143993559531051,0.0396405690472916,0.0116964061192144,-0.00497577209203815
