"gene_name","module","color","kME_brown","kME_grey","kME_turquoise","kME_black","kME_magenta","kME_green","kME_cyan","kME_blue","kME_pink","kME_purple","kME_greenyellow","kME_yellow","kME_tan","kME_salmon","kME_red","kME_midnightblue"
"A830018L16Rik","magenta","magenta",-0.0458718751819817,0.182253120302608,0.016769798875866,0.193805042483038,0.423123552367505,0.16210580440882,0.109379708180896,-0.144161824624673,-0.077764840190939,0.138094933152466,0.19543230016999,-0.113840571970702,0.262574649921445,0.17262738707424,-0.00112594145735655,-0.0333238790518487
"Sulf1","grey","grey",-0.0838204089774509,0.135597228543804,0.0188206040289873,0.13300084447948,0.157986126698364,-0.0795106895015326,0.0400797031914057,-0.0224709520557069,0.0541645124215736,0.109660156320309,0.0720566825043106,-0.134243975502651,0.0912102291223483,0.202593279286847,0.0312537157587667,0.113103988893527
"Slco5a1","grey","grey",-0.00951132068404272,0.0412956990704551,-0.034434955728583,0.0472837411616329,0.124398260104071,0.0563501573376685,0.0512205541274624,-0.0484463390922331,-0.0587728574364107,0.0374643675935676,0.0839457900787896,0.00947787136623008,0.0851726506415387,0.0336043824340077,0.0210356026752701,-0.0329111882496464
"Ncoa2","grey","grey",0.0471019791563463,0.102929857735565,-0.0171207132225203,0.0118846655144231,-0.0123083542154726,0.010040533331482,0.089496821808113,0.0646055289997163,0.0109936359259994,0.0212851592496669,0.0314524743866424,0.0286765941867183,0.00624867674819236,0.0510791482875417,0.0475169603618247,0.0710029374826764
"Tram1","grey","grey",0.00411282072342438,0.0881299678583036,-0.0258048563769517,0.0399438478964148,0.0692860590218355,-0.0128123678232015,0.0288466947965176,0.0642810180621738,0.0286437918165083,0.0674105479172237,-0.00181044365274592,-0.0247439377418538,0.0802141105846344,0.083745160079616,-0.036033826188205,0.0245275710625117
"Lactb2","greenyellow","greenyellow",-0.0516332578798251,-0.009465822222388,-0.0296939625603634,-0.0733385227908835,0.052609653971642,0.0910857001403401,0.0906025000964598,-0.163750244285893,-0.165579161577169,-0.142047127703565,0.183211989564108,0.171685989997443,-0.0207305367751708,-0.0872164927248926,0.162012586843889,-0.0998756857771004
"Eya1","green","green",0.244429367135981,0.0612928820034881,0.0344730669568015,0.111818240700646,-0.061000232751082,0.335203327204395,-0.0293335518659818,-0.0203593971351472,0.000693151949933949,0.0820709519644734,-0.0177219816221035,-0.0341057944509955,-0.117617336182309,-0.110424905799031,0.0338538486629497,-0.00944833057688187
"Gm9947","grey","grey",0.0409169983977372,0.00671091286544367,-0.00458108993762626,0.0412309293991766,0.0383177236993932,0.0787137955849325,-0.0250476392373199,-0.0165446747364077,0.00073080476145248,0.0281240736947503,-0.00844515705165289,0.0556985031159068,0.0196898409859628,-0.0185547752393342,-0.027836804919266,-0.0604682707547858
"Kcnb2","blue","blue",0.374478862764225,0.274498384556743,-0.0892671703623421,0.217857054104429,-0.131046092598484,0.175119159053839,-0.0146667866834228,0.419753007055389,0.111849328876984,0.333349352015462,-0.229771022628713,-0.272187152537061,0.0482160306225529,0.126593132722417,-0.167923095070841,0.111030868929835
"Terf1","brown","brown",0.137423361133931,0.11098833717209,-0.0580038554096908,0.100208355876191,-0.00316130406184178,0.0336328354199025,-0.00456960864116135,0.128150412548347,0.0249285758338249,0.130809553748666,-0.0436269804344595,-0.0891168985941465,0.0510503209529447,0.0627594282852108,-0.059660115016267,0.00555558475702754
