"gene_name","module","color","kME_black","kME_grey","kME_brown","kME_blue","kME_green","kME_yellow","kME_red","kME_pink","kME_turquoise","kME_magenta","kME_greenyellow","kME_purple"
"Ppp2r5d","turquoise","turquoise",-0.0404091952904163,-0.0204283539954302,0.000389079056563742,0.00704339151213758,0.00476368518698664,-0.00903228627627099,-0.0151553915489948,0.0354125042541846,0.0714177332162669,0.0173692632166313,-0.00425555777900582,0.0629270501068865
"Cnpy3","grey","grey",-0.0478033311854944,-0.0234463900010985,0.018326589788545,0.0291134145803054,0.0248481500345842,-0.0246643948249511,-0.0213839179036548,0.0114226867442921,0.0464882371692028,-0.00507407728372688,-0.00602328109026891,0.047671918694328
"Rpl7l1","grey","grey",-0.0148705975393429,-0.039336231862818,0.00317790777868012,0.0654666683821148,0.0527874262453707,-0.0587447999903486,-0.0610336660742868,-0.034686725416299,0.00826603172990659,-0.0208818491013374,0.000163077988178086,0.0332948766340596
"Bicral","turquoise","turquoise",-0.0512984914473323,0.0615187314145191,-0.0494873295018552,-0.0288291991577152,-0.0739582636230254,0.071397212100789,0.00875915698065376,0.149532470154107,0.182492260119085,0.0681889212833919,0.0172690881935696,0.0424487462486295
"Tbcc","grey","grey",0.00569637989746042,0.00234643346834983,-0.0318966864763923,0.0534520153357111,0.0159023813909325,-0.0145839596182721,-0.0436811202138819,-0.0276424094999775,-0.0223958176796586,-0.0417270682159371,0.0406257020861604,-0.0137828617587989
"Ubr2","turquoise","turquoise",-0.0691154645906251,0.0364185242297939,0.00326942582656228,-0.054352176408843,-0.0598560188484522,0.0520362301586404,0.0361700084437348,0.152604625230892,0.187914970963081,0.125159054251496,-0.0333924181114106,0.0837110178604792
"Mrps10","grey","grey",0.064694681484328,0.0870410000929825,-0.018610054552988,-0.0151479106707284,-0.0390873865256092,0.0512041940223926,0.0345623844698961,0.0341764658826213,0.0110730547965055,0.031361130911843,0.0525333364350953,0.00274509663884639
"Taf8","grey","grey",-0.0537413518164813,0.0186865356506506,-0.0320139073051586,-0.0249856204632527,-0.0456347711585183,0.0381091253875912,0.008284635969716,0.0442786888384831,0.0542458926017417,0.0294946173633371,0.00618357758302994,-0.0128963338673965
"Ccnd3","grey","grey",0.00156855765802165,0.0886002815367016,-0.0477420446181302,-0.114009418395003,-0.135252636027503,0.128819376730952,0.0891367345165139,0.119538674324013,0.0732927747033513,0.0581820671488301,0.00902330945964347,0.00896260472796302
"Bysl","grey","grey",0.000675489172976424,0.0377952324205464,-0.0390026087432892,-0.0147657808960732,-0.0413482495142975,0.048241573487832,0.00678119751210639,0.0618301375834197,0.0716160413309754,0.0252844327325227,0.0227401588929213,-0.0200405856859988
"Gm20517","grey","grey",0.00212232088885627,0.0349959343765884,0.00946516988538872,-0.0152089725552171,-0.00355120491649697,0.0214374954074156,0.0240973658296809,0.0139587478469181,0.0100318577221657,0.0316693869716669,0.00113848024499207,0.0155914589284457
"Usp49","grey","grey",0.050909062987732,0.0664476873653992,0.00163660052873295,-0.00432956117838501,0.000281204928372213,0.0286508874238168,0.0154036674842833,0.00980035725718267,0.00767805755063948,0.00713959248433917,0.0103331197876106,0.00327646037062977
"Frs3","turquoise","turquoise",-0.014003058354973,-0.00137462539708933,0.0213612527211073,-0.0498355570525387,-0.0148480362853078,0.0208605031890872,0.032837670534394,0.0575291200684809,0.060582308916,0.0677195953012775,-0.0357602396806685,0.0375410524387762
"Tfeb","yellow","yellow",-0.028588122383504,0.157474475498387,-0.175918907920774,-0.163226289864288,-0.26337114159616,0.257582970813396,0.0772041602545621,0.254877901421341,0.12462284971592,0.00688207939210177,0.114034968369529,-0.118489792331357
"Foxp4","pink","pink",-0.0219047679287868,0.144982812884313,-0.160389447399063,-0.162307743360494,-0.242789732325577,0.241303402767475,0.103379644191391,0.287658799953053,0.161788536871086,0.0755495881268415,0.106731001311359,-0.0685771145139582
"Nfya","grey","grey",0.0278603573110987,0.0382396648331066,-0.0634589922385801,0.00642023813050513,-0.0496003773236466,0.052056441615301,-0.0086734159916013,0.0449862090605949,0.0213127536756579,-0.0109511462469857,0.0663855961906826,-0.0409568918729488
"Unc5cl","grey","grey",0.0282970670318671,0.101171374366486,-0.044359018419571,-0.0816191321607916,-0.10500203369268,0.0981908335984822,0.0729378856109489,0.0742181260030669,0.0197825262042099,0.017939416029718,0.00130933067110564,-0.0741442521626369
"Lrfn2","grey","grey",-0.0980906418430401,-0.116847283014757,-0.11491734379739,0.19720543892382,0.0814480176316122,-0.0797617402073651,-0.241640350302658,0.0431185140229102,0.166997124036991,-0.0831460752335919,0.21224891189083,0.0986245198101676
"Mocs1","grey","grey",-0.0175116086622571,0.0207255473168762,-0.0236892437194444,0.00437574303973981,-0.0260208166959126,0.012932142255966,-0.0261183254988398,0.0304078305151796,0.0470984122872027,-0.0119085007585953,0.0219732277475265,-0.00100469087112937
"Kif6","grey","grey",-0.0151097842407522,0.0138003245819823,-0.065516560849877,0.0672761937493028,-0.0054494887632243,0.00778088762609916,-0.0607352560244263,0.021918849955715,0.0426713716620737,-0.0309229061626873,0.0701062798324938,0.0142450541148815
"Rftn1","blue","blue",-0.125621334717642,-0.32933554234694,-0.113756184506852,0.635796174826123,0.394425746181324,-0.444447450831424,-0.602164587454294,-0.341887941340451,0.0653309297404958,-0.337187945436179,0.134986603574678,0.119753501596029
"Plcl2","grey","grey",0.160810549435613,0.179065564392689,0.0533974685267486,-0.123791045635993,-0.0586344986807103,0.134194260459107,0.147823893787718,0.0614806818230294,-0.0722477746484745,0.0387007544822542,0.0447521403789445,-0.0649762944819158
"Tbc1d5","brown","brown",0.188320601450851,0.0995393636936125,0.0653048721952968,0.0200408093640935,0.0491856784405154,-0.00610102156458549,0.0612126038253678,-0.141631236826332,-0.163353191729646,-0.0361524006415622,0.0079126680105752,-0.0767514604414168
"Satb1","yellow","yellow",0.195713313439853,0.519777430619938,-0.344998569459987,-0.475313003439259,-0.632412475777784,0.70222822158936,0.402930351509871,0.520830384905804,0.095159169300275,0.0716662113116486,0.327129149019379,-0.323082344261354
"Kcnh8","blue","blue",-0.0389513391068372,-0.179220321992369,-0.200194277536861,0.625496281006518,0.273077532596596,-0.337127472293359,-0.580649055199579,-0.292281152680385,0.0926847204550968,-0.364731785983929,0.214909280482665,-0.00469591194956013
"Efhb","blue","blue",0.0810499812765146,0.00204547950903766,-0.00846617914603902,0.158152391452634,0.0961237240328888,-0.07330087632883,-0.116773685240251,-0.113969496227541,-0.031425621737308,-0.0835135203955451,0.0548416531705155,-0.00196373340815524
"Rab5a","grey","grey",0.0638667899028938,0.0536775190885061,-0.0150690358413012,0.0356546624591988,0.00741552705155703,0.0137815787519162,-0.00641781466390468,0.00889616775177947,0.0360309510659593,0.000563236839041228,0.0373029446353223,0.00609332298344513
"Kat2b","grey","grey",-0.00538101375467615,-0.0139682881788029,0.0275749097036952,0.0854317850013847,0.0768479096333483,-0.0606569503365779,-0.0520859614318979,-0.0422269576276862,0.00605188283179652,-0.0403596985733474,0.014647148793525,0.020257624256121
"St6gal2","yellow","yellow",0.179626566180408,0.360883927143946,-0.265249556265793,-0.299848063180214,-0.407518428054891,0.469954629936044,0.252329728868908,0.303751080532965,-0.00658911902343293,-0.0295644260130913,0.229522888636068,-0.23466111289172
"Pot1b","grey","grey",0.0475965916989923,0.0256404184369797,0.0569579958839602,-0.0132265772426175,0.0320158459131797,-0.00827025740349461,0.0522090103161933,-0.0372456783426687,-0.0436844843566499,0.0423664673207456,-0.0212238346805758,0.0109334657152147
"Ccdc94","grey","grey",-0.0145684549767055,-0.0243653120695346,-0.0223165921271625,0.026344160098397,0.00245735297713479,-0.0252412253672533,-0.0398251456054327,-0.035864069380234,-0.0204327000041287,-0.0260010395282783,0.00260891528758448,-0.0177650719052195
"Shd","grey","grey",0.0282680255423559,0.0742939383078791,0.0111667239483686,-0.0964664461166978,-0.0607856419678742,0.085512661367572,0.0995219089007858,0.0891848638678344,0.0340249141121079,0.0752355951672528,-0.0136056344674289,0.0123425438753315
"Fsd1","turquoise","turquoise",-0.053899576859296,0.0147059268378551,0.000486624229217113,-0.0786560337366824,-0.0557984454741664,0.0481893302252641,0.0491024089787663,0.109088119968976,0.104212598860952,0.105446634580007,-0.0308526816436711,0.0599888085355223
"Mpnd","turquoise","turquoise",-0.0368471757279019,0.0503679690756477,-0.00216365284996346,-0.0608698087203483,-0.0476640920646931,0.0687202573180323,0.040467211329884,0.117463412557214,0.100821926941619,0.0631081784590886,0.00532815955637477,0.0337635937903779
"Sh3gl1","turquoise","turquoise",-0.0424609392683715,0.0333434329067741,-0.0319924856032005,-0.021373638128613,-0.0602005671526057,0.0472723514600762,-0.00437609228281551,0.103217934414782,0.117220124042059,0.0419352619252581,0.00867298340474795,0.0149159747816638
"Ubxn6","turquoise","turquoise",-0.0208305311537679,0.0126840255104685,0.000284935390575859,0.0695119527195955,0.0379881621556423,-0.0325180489231038,-0.0493307749283187,-0.00156957834870288,0.0702352904605206,-0.000122970024082192,0.00651162838109384,0.0420381193257114
"Hdgfl2","turquoise","turquoise",-0.0933712500308399,-0.00690476059077847,-0.0940283189383706,0.0206636463403445,-0.0605645075569518,0.0305723727610836,-0.0651107435966768,0.11884087278153,0.175095568962156,0.0234170758100266,0.0609140587469407,0.0191810406999082
"Sema6b","turquoise","turquoise",-0.0701418242517311,0.0171463497252652,-0.0618924411520004,-0.0233338434722085,-0.0546049528618965,0.0542734409837857,-0.0157264101136976,0.115373076848336,0.138908783262562,0.0364604268534638,0.0227970467171565,0.0417282886705662
"Mydgf","grey","grey",-0.0149953749940606,0.00406462692031167,-2.83817522952953e-05,0.0398495517636932,0.0120796182918171,-0.0201733116491943,-0.0286447826770858,-0.000675486220679994,0.0264663966579732,0.00978021550488832,0.00758430910715317,0.0128690491408219
"Dpp9","turquoise","turquoise",-0.0592177525790049,0.025459337254177,-0.094930614956452,0.0219369192095841,-0.0633862553859516,0.051048579667877,-0.0412619453613924,0.105615815513023,0.123379108633181,-0.0133801062248218,0.0552547123210387,0.0288677801654618
"Fem1a","turquoise","turquoise",-0.0934894443362232,-0.00615495076425776,-0.0288890126385942,-0.0124068435345664,-0.0441316314762693,0.021030244344362,-0.00898224324106297,0.0751678462881644,0.115358520625334,0.0416333980883069,-0.0105147591404132,0.033953597586734
"Kdm4b","turquoise","turquoise",-0.16207394541536,0.0336046873526524,-0.108927880797704,-0.0551426741673128,-0.141725027218098,0.104547354252573,-0.0104400177554307,0.218317480483112,0.240736354266822,0.0475527544353588,0.029780206708669,0.0364914376009369
"Ptprs","pink","pink",-0.216791314504114,0.0957529042709691,-0.201065388878566,-0.197664678006378,-0.310044989549473,0.253837684133236,0.0751720726066646,0.451971207683857,0.390117327371258,0.121491524988423,0.0505003866032594,0.034591395148878
"Gm20219","grey","grey",0.0101630881897707,0.0739231357313536,-0.026032442234763,-0.0663540201410844,-0.0777103947855287,0.085033241113733,0.0548109953795431,0.0961100536382789,0.0558103492751995,0.0209734315746607,0.00858596093359917,-0.00546464981228715
"Safb2","turquoise","turquoise",-0.158380649327826,-0.0755421590275081,-0.0951250737462331,0.111687267633113,0.0123144463221514,-0.0440966587344499,-0.151973499345431,0.0862774747019702,0.21481162860311,0.000161336979344399,0.0633894709419252,0.0899401559655786
"Safb","turquoise","turquoise",-0.118420890324414,-0.0298425124269554,-0.0855012935556415,0.0804714224954099,-0.0138402666501561,-0.0110016188364475,-0.104956862645152,0.0890825692739835,0.1978544974181,0.00584732294131218,0.0656006607920926,0.0822687193321675
"2410015M20Rik","grey","grey",-0.0215052907411056,0.00936652811412013,-0.0304170814821784,0.0090854090430078,-0.0174376619432658,0.0121968560175449,-0.025762877618137,0.0389789355954205,0.052978304422567,0.00191944515356674,0.00221190522355555,0.00410258593835698
"Rpl36","grey","grey",-0.0148489587316535,-0.0519881123784216,-0.0038921666369977,0.0624427241449569,0.0472351182277709,-0.0649380673326849,-0.0694155104898918,-0.0724346930712256,-0.03042515259265,-0.0540666611719044,-0.0181774225436774,0.0058373601221714
"Lonp1","turquoise","turquoise",-0.0370693950382272,-0.00788082979435266,-0.0269915321804458,0.0432708992185784,-0.00027858182326365,-0.0131770811136649,-0.048773753569201,0.047030541576639,0.114129768516017,0.0368216999635425,0.0181582471545753,0.0747680443087933
"Catsperd","grey","grey",-0.00471772439948885,0.0127403180827469,0.00152581331582066,-0.0226095355241443,-0.011405713053444,0.0103386967020569,0.00495834769537582,0.0328628160423877,0.0292953177427112,0.0324187515013996,-0.00771781610198702,-0.00552897807121321
"Ranbp3","turquoise","turquoise",-0.124721188048389,-0.0524722550670069,-0.0493860367326492,0.0523604601557211,-0.0121653461031984,-0.0299371601529826,-0.0881832463137446,0.0602278686032426,0.13999038960945,-0.0253587375369215,-0.0079794129564281,0.0676355710972144
"Vmac","grey","grey",0.0340963506375102,0.0467095827311707,-0.0357878387971229,0.0138852386765777,-0.0192406890724457,0.0238986129310036,-0.0173557139048548,-0.00431827339153276,-0.00828556802094339,-0.0334772335962579,0.0491175650185436,-0.0320036260003595
"Ndufa11","grey","grey",-0.00972095716821421,0.0402906954677437,-0.0856169450405824,-0.0334420378469036,-0.0931278199996484,0.0691493049087119,-0.00065939900042655,0.0639486781529471,0.0464949946148218,-0.0323294428137837,0.0393270434689139,-0.0437513996922027
"Dus3l","turquoise","turquoise",-0.044314456964564,0.0258242159287875,-0.00329939644871867,-0.0703463591977882,-0.0617010307625694,0.0405464461902651,0.0511878553033587,0.111737481897228,0.117973752732058,0.0759313143979815,-0.0415098459880189,0.0425220371203254
"Prr22","magenta","magenta",-0.0774842257319435,-0.0276841416720511,0.0478800603694885,-0.0467388195718192,-0.000836674216582627,-0.0194110551006761,0.0191800098100515,0.0647487820812673,0.0716839162189851,0.121907075473701,-0.0773888250664623,0.0759302583561295
"Rfx2","green","green",-0.0484225508263055,-0.137358326693079,0.0874263324383448,0.136646605708312,0.191302040140241,-0.181625699099314,-0.113507869159212,-0.12885198424776,0.00460239637616651,0.0100354161483097,-0.0684149913118268,0.120976442049301
"Mllt1","turquoise","turquoise",-0.0218593734970334,0.0480485073214143,-0.0323799946092478,-0.00618067621557483,-0.0400569424640902,0.0396210209681868,0.000101197160733814,0.0727504769945725,0.0964272429835235,0.0264890219677647,0.0146919971739054,0.0103010630071091
"Clpp","grey","grey",-0.0226497946063437,-0.00687904935688742,-0.00340281379359368,0.0262498352698172,0.0207666573007659,-0.0253757593133902,-0.0317058113678265,0.00358602442437173,0.0498317893063954,0.0376657683031056,-0.00869711053782756,0.0419215947104188
"Alkbh7","grey","grey",-0.000350417744979301,0.00104045478206467,0.00649557338956559,0.0129223864883056,0.00879757373531636,-0.00919608263729607,-0.012127077575835,0.0186434965747463,0.0372172990028847,0.0231274759128407,-0.00312857438596079,0.0256072036759888
