"gene_name","module","color","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_green","kME_black","kME_yellow","kME_red"
"4930444P10Rik","turquoise","turquoise",-0.17841472930837,0.00881979442283683,-0.0183776611260449,0.236414588676013,0.00288258012713414,0.0461332988971186,-0.03436064028469,-0.0505603242091972
"Rpl7","brown","brown",-0.0215805949880681,-0.0466552642879387,0.299326377712495,-0.018010596137649,0.0184583586712944,0.00861765011527426,-0.0323175492006975,-0.0240446362265101
"Rdh10","grey","grey",0.0237850210172419,0.0664690858956664,-0.0542284393791663,0.0163676334536003,0.0227500418787435,0.0347201028886957,0.0166241994692385,-0.000264538466137228
"Gm28095","grey","grey",0.0504432576697891,0.0399647284891677,-0.0101450502194756,-0.0393562158282145,-0.0154945164755976,-0.00440997133401269,0.022901060035759,0.00169952096202206
"Stau2","blue","blue",0.201277493808164,0.294765450989739,-0.0956275742204511,0.0345698824321179,0.0750378095555868,0.0389543366825456,-0.127074129418592,0.119680382480025
"Gm7568","grey","grey",0.0526409279115748,0.0732028037571962,-0.0169400297737928,-0.0124612632589755,0.0214660841461351,0.0121262289249589,-0.00318683770666848,0.0161076597298477
"Ube2w","turquoise","turquoise",0.0404305509945954,0.136113704713592,-0.047774813776576,0.0751979389016253,0.021844443173805,0.0236469012909194,-0.021792101784011,0.0467504675836801
"Eloc","grey","grey",-0.00103156155554175,0.0255958474260145,0.118619828262876,0.0103019525554941,-0.0104697780544648,-0.00514860812064018,0.00514121305994949,-0.00450002960457436
"Tmem70","grey","grey",0.0215108530814957,0.0473318722778142,0.0261790148272334,0.00518603259872066,0.0149039040973014,0.00826799064111215,-0.00803648889047854,-0.0107764120957221
"Ly96","yellow","yellow",0.0222796973027296,-0.035061038279725,-0.0248219258765693,-0.12645569730862,-0.0494183421074633,-0.0351367203148528,0.283645611674521,-0.137379550725677
"Gm28376","blue","blue",0.207682084454803,0.087610860588001,-0.00199013102453212,-0.18147356163552,0.08096103068368,-0.0403277688686045,-0.0347690843618193,-0.0220546226233982
"Jph1","blue","blue",0.189389972972297,0.0917086756557592,-0.02769487068565,-0.148705525055319,0.081481311585254,-0.0443893544628769,-0.0263231032103202,-5.17102497527635e-05
"Gdap1","grey","grey",0.0659829748193966,0.100472073512625,0.0396517537009873,-0.00849803518480084,0.0288374917186277,-0.0059547480521947,-0.0124504715207664,0.00406579539478435
"Gm16070","green","green",0.00748531734566751,-0.0121124672538693,-0.0300328611684365,-0.00137059572353366,0.263553463125582,0.201730887214392,-0.0253707548232132,0.0151277335783151
"Crispld1","grey","grey",0.0306241680122324,0.0131389208610886,0.0106577680293895,-0.0350138819280374,0.0708143251586156,0.0576163799477093,0.029966236643043,-0.0273452921223568
"Gm28153","blue","blue",0.244608272710129,0.191818246987168,0.111421884818764,-0.145616687855864,0.0483581813629785,-0.0196229987851807,-0.131118664794641,-0.0594093449911603
"Pkhd1","turquoise","turquoise",0.00573383286911322,0.0371953564999146,-0.0121693369358447,0.034068828890896,0.00804045235263388,0.00576937787586729,-0.014755570720149,0.00983314578996922
"Paqr8","grey","grey",0.0481382073028603,0.0241968121430367,-0.0449570767908694,-0.0357136216074837,0.0083495223197305,0.0498537675436381,0.00364577782300602,0.057337699495839
"Tmem14a","grey","grey",0.0489349460543035,0.072294618781568,0.0470114587259852,9.7095327145118e-05,0.0124419202340574,-0.00284169084725635,-0.038813011090254,0.022805638770284
