gene,SNc healthy kME,SNc healthy in_module,SNc healthy rank,SNc intact kME,SNc intact in_module,SNc intact rank,SNc lesioned kME,SNc lesioned in_module,SNc lesioned rank,VTA healthy kME,VTA healthy in_module,VTA healthy rank,VTA intact kME,VTA intact in_module,VTA intact rank,VTA lesioned kME,VTA lesioned in_module,VTA lesioned rank
Mapk8,0.1053,0,,0.1332,0,,0.1543,0,,0.1018,0,,0.0988,0,,0.0705,0,
Mapk9,0.2413,1,503,0.3014,1,337,0.2503,1,461,0.1233,0,,0.0223,0,,0.0593,0,
Creb3l1,,,,,,,,,,,,,,,,0.1723,1,317
Ppp2r5c,-0.1206,0,,-0.0975,0,,-0.1381,0,,-0.1865,0,,-0.2450,0,,0.0015,0,
Ppp2r5e,0.0681,0,,0.0527,0,,0.0490,0,,0.0969,0,,0.0166,0,,0.0292,0,
Ppp2r2c,0.0418,0,,0.0277,0,,0.0226,0,,0.0069,0,,-0.0207,0,,0.0246,0,
Mapk12,0.1692,1,764,0.1181,1,1114,0.1352,1,785,0.0622,0,,-0.0017,0,,0.0709,0,
Ppp1ccb,,,,,,,,,,,,,,,,,,
Calm5,,,,,,,,,,,,,,,,,,
Ppp2r1a,-0.0101,0,,0.0075,0,,0.0816,0,,0.0332,0,,-0.0090,0,,-0.0714,0,
Ppp2r2d,-0.0468,0,,-0.0183,0,,-0.0537,0,,0.0393,0,,0.0036,0,,0.0693,0,
Gria3,0.6896,1,46,0.5453,1,91,0.5822,1,77,-0.1800,0,,-0.1729,0,,0.2394,0,
Gsk3b,-0.1351,0,,-0.1400,0,,-0.2518,0,,0.0011,0,,0.0250,0,,-0.0390,0,
Ppp2r3c,-0.0515,0,,0.0004,0,,-0.0387,0,,-0.0120,0,,-0.0071,0,,-0.0011,0,
Gsk3a,-0.0366,0,,0.0029,0,,0.0271,0,,-0.0334,0,,0.0175,0,,-0.0115,0,
Gng13,,,,,,,,,,,,,,,,,,
Gng11,,,,,,,,,,,,,,,,,,
Caly,0.1138,1,1070,-0.1155,0,,-0.0134,0,,0.0264,0,,0.0200,0,,0.1410,0,
Calml3,,,,,,,,,,,,,,,,,,
Ppp2r2a,-0.0062,0,,-0.0257,0,,-0.0358,0,,0.0235,0,,0.0153,0,,-0.0562,0,
Ppp2r2b,0.4805,1,161,0.3358,1,266,0.4127,1,198,-0.2056,0,,-0.2319,0,,0.1994,0,
Ppp2r1b,-0.0024,0,,-0.0061,0,,-0.0072,0,,0.0408,0,,-0.0019,0,,0.0184,0,
Calml4,0.1052,0,,,,,,,,,,,,,,,,
Creb3l4,,,,,,,,,,,,,,,,,,
Tomt,,,,,,,,,,,,,,,,,,
Calm4,,,,,,,,,,,,,,,,,,
