gene_name,kME,rank,in_kegg_dopaminergic_synapse
Smg6,0.186066,282,0
Rabgap1,0.185653,283,0
Ptpn12,0.183445,284,0
Tmem64,0.183224,285,0
Mark1,0.183218,286,0
Mei4,0.182660,287,0
Rock1,0.182310,288,0
Maml2,0.182165,289,0
Nt5c2,0.182012,290,0
Map3k5,0.181256,291,0
Sel1l3,0.180893,292,0
Golgb1,0.180552,293,0
Top1,0.180521,294,0
Xrn1,0.178935,295,0
Mga,0.178726,296,0
Gck,0.178204,297,0
Rps6kb1,0.178118,298,0
Cttnbp2,0.177872,299,0
Gm12353,0.177234,300,0
Pias2,0.176726,301,0
Sema6a,0.176050,302,0
Ep400,0.175656,303,0
Epc2,0.175294,304,0
4931406P16Rik,0.174762,305,0
Itpr2,0.174419,306,1
Pspc1,0.174141,307,0
St3gal6,0.173983,308,0
Atrx,0.173303,309,0
Ift81,0.173297,310,0
Rsf1,0.173294,311,0
Cxxc5,0.173255,312,0
Map3k14,0.173062,313,0
Bcl2,0.172683,314,0
Lrmda,0.172427,315,0
Mtf2,0.172345,316,0
Creb3l1,0.172336,317,1
5330417C22Rik,0.172006,318,0
St8sia2,0.171597,319,0
Alms1,0.171249,320,0
Nsd1,0.171151,321,0
Zfp292,0.170950,322,0
Hnrnph3,0.169794,323,0
Nsd2,0.169172,324,0
Upf2,0.169004,325,0
Cbfb,0.168260,326,0
Sh3pxd2b,0.167919,327,0
Med13,0.167654,328,0
Ncor1,0.167394,329,0
Zfp92,0.167305,330,0
Kitl,0.167250,331,0
Zfand6,0.166934,332,0
Sfmbt1,0.166925,333,0
Fbxo11,0.166915,334,0
Cdk8,0.166760,335,0
Dip2b,0.165841,336,0
Bcr,0.165786,337,0
Gm43376,0.165638,338,0
Plxna4os3,0.165444,339,0
Kmt2a,0.165392,340,0
Kdm6a,0.165325,341,0
Rasa4,0.165258,342,0
Chchd3,0.165251,343,0
Sclt1,0.164576,344,0
H13,0.164541,345,0
Ptprn,0.164142,346,0
Memo1,0.164140,347,0
Dhx40,0.164036,348,0
Slc25a36,0.163988,349,0
Ubl3,0.163973,350,0
Lnpk,0.163862,351,0
Erc1,0.163779,352,0
Btrc,0.163072,353,0
Hccs,0.162640,354,0
Luc7l,0.162278,355,0
Rbm39,0.162165,356,0
Sik3,0.161311,357,0
Herc4,0.161250,358,0
Amelx,0.161145,359,0
Atp2b1,0.161137,360,0
Kmt2e,0.161061,361,0
Ptn,0.160889,362,0
Gxylt2,0.160171,363,0
Adgrg1,0.160161,364,0
Birc6,0.160007,365,0
Usp3,0.159182,366,0
Rbm6,0.159107,367,0
Prmt2,0.158702,368,0
Khdrbs1,0.158314,369,0
Pde3b,0.157990,370,0
Abl2,0.157792,371,0
Setx,0.157660,372,0
Hsd17b12,0.157168,373,0
Camta1,0.157103,374,0
Smarcc1,0.156986,375,0
Gm5577,0.156868,376,0
Gprasp1,0.156833,377,0
Ago2,0.156760,378,0
Nipbl,0.155897,379,0
Mfsd13b,0.155408,380,0
Gm26733,0.154328,381,0
Efs,0.154175,382,0
Gdpd1,0.153861,383,0
E130102H24Rik,0.153742,384,0
Lig1,0.153681,385,0
Nmnat2,0.153677,386,0
Xpo7,0.153639,387,0
Zfp280d,0.153104,388,0
Fam208b,0.153040,389,0
Araf,0.153024,390,0
Atp9b,0.152867,391,0
Dip2c,0.152762,392,0
Dennd5b,0.152690,393,0
BC005561,0.152545,394,0
Rbm26,0.152001,395,0
Bdnf,0.151972,396,0
Wdr33,0.151928,397,0
Gm20732,0.151388,398,0
Kansl1,0.151367,399,0
Wwp1,0.150921,400,0
AI314180,0.150858,401,0
Pds5a,0.150762,402,0
Ankrd44,0.150747,403,0
Amz2,0.150616,404,0
Sfpq,0.150458,405,0
Cds1,0.150384,406,0
Rnf19a,0.150245,407,0
Cep170,0.150237,408,0
Ptchd1,0.149842,409,0
Nup98,0.149225,410,0
H2-D1,0.148872,411,0
Cnnm1,0.148145,412,0
Heca,0.147995,413,0
Rffl,0.147702,414,0
Vps13b,0.147624,415,0
Bclaf1,0.147429,416,0
Gpr45,0.147309,417,0
Pum1,0.146282,418,0
Chic2,0.145978,419,0
Cbl,0.145677,420,0
Pja2,0.145450,421,0
Ppp6r3,0.145320,422,0
Csnk1g3,0.145319,423,0
Cdk13,0.145026,424,0
Phf20,0.145005,425,0
Fam13b,0.144850,426,0
Slc38a1,0.144657,427,0
5530401A14Rik,0.144618,428,0
Ints6l,0.144048,429,0
Pik3c2a,0.144042,430,0
Helz,0.143813,431,0
Ptbp3,0.143808,432,0
Stx16,0.143754,433,0
Mllt10,0.143691,434,0
Fhad1,0.143647,435,0
Zfr,0.143501,436,0
Irf2bp2,0.143425,437,0
Shprh,0.143256,438,0
Wdyhv1,0.143188,439,0
Rnd3,0.143058,440,0
Brd4,0.142777,441,0
Cerkl,0.141415,442,0
Lrba,0.141099,443,0
Dtna,0.140658,444,0
Glt8d1,0.140530,445,0
Zcchc7,0.140432,446,0
Crebrf,0.140237,447,0
Slc29a1,0.140069,448,0
2410089E03Rik,0.139540,449,0
Cul3,0.139385,450,0
Sos2,0.139243,451,0
Elovl4,0.138734,452,0
Tmem181a,0.138606,453,0
Atp1a1,0.138415,454,0
Zfand3,0.137761,455,0
Uhrf2,0.136980,456,0
Gnai3,0.136673,457,1
Fosl1,0.136598,458,0
Tial1,0.136396,459,0
Plcg1,0.135855,460,0
Uba6,0.135576,461,0
Rmdn1,0.135549,462,0
Rab3gap1,0.135516,463,0
Smg7,0.135424,464,0
Ube2g1,0.135212,465,0
Ppp1r12a,0.135210,466,0
Pcm1,0.135183,467,0
Far1,0.135092,468,0
Zbtb11,0.135054,469,0
Rhobtb1,0.134544,470,0
St3gal5,0.134536,471,0
Kdm3b,0.134292,472,0
Celf6,0.134267,473,0
Gm44643,0.134232,474,0
Nebl,0.134099,475,0
Ppp4r3b,0.133686,476,0
Atg16l2,0.133568,477,0
Snx29,0.133310,478,0
Mapk1ip1l,0.133192,479,0
Doc2b,0.132991,480,0
G3bp1,0.132817,481,0
Ppp4r3a,0.132651,482,0
Spag9,0.132095,483,0
Spred2,0.131897,484,0
Tex10,0.131591,485,0
Rlf,0.131213,486,0
Lrrc6,0.131187,487,0
Hacd2,0.131118,488,0
Cop1,0.131036,489,0
Crtc1,0.130796,490,0
Cdc26,0.130725,491,0
Doc2g,0.130638,492,0
Clock,0.130151,493,1
Mgrn1,0.130080,494,0
9930021J03Rik,0.129855,495,0
Ubxn4,0.129548,496,0
Prelid3a,0.129447,497,0
Ssr1,0.129230,498,0
March7,0.128984,499,0
Nktr,0.128342,500,0
Xpo4,0.127551,501,0
Arih1,0.127490,502,0
Akap13,0.127301,503,0
Syt13,0.127218,504,0
Mkln1,0.127181,505,0
Usp47,0.127116,506,0
Cfap74,0.126354,507,0
Kif13b,0.126206,508,0
Gmps,0.126178,509,0
Tmed5,0.125559,510,0
Arl13b,0.125130,511,0
Mboat7,0.124784,512,0
Prdm2,0.124765,513,0
Srek1,0.123615,514,0
Rbbp4,0.123568,515,0
Hnrnpa2b1,0.123416,516,0
Adal,0.123205,517,0
Lrp12,0.122955,518,0
Rbpj,0.122939,519,0
Gm16897,0.122840,520,0
Iqcb1,0.122502,521,0
Taf1,0.122491,522,0
Mgea5,0.122125,523,0
Pald1,0.121767,524,0
Slc16a7,0.121542,525,0
Rbm27,0.121168,526,0
Ppp1r37,0.120017,527,0
Mdga1,0.119783,528,0
Stk24,0.119696,529,0
Zc3h14,0.119526,530,0
Ccdc57,0.119053,531,0
Fnbp4,0.118787,532,0
Zfp91,0.118591,533,0
Arf4,0.118517,534,0
Ap4s1,0.118347,535,0
Pan3,0.118319,536,0
Lasp1,0.118289,537,0
Zfp609,0.118270,538,0
Bcl7a,0.118159,539,0
Gm40437,0.117676,540,0
Rbbp6,0.117476,541,0
Ccar1,0.117202,542,0
Ccdc66,0.117133,543,0
Thoc2,0.116828,544,0
Cbarp,0.116594,545,0
Gm6994,0.116535,546,0
Synj1,0.116121,547,0
Gm12002,0.115975,548,0
Suz12,0.115657,549,0
Gpatch8,0.115438,550,0
0610043K17Rik,0.115270,551,0
Atad2b,0.114937,552,0
Pcgf2,0.114472,553,0
Nmt2,0.114083,554,0
Stx7,0.113969,555,0
Fnip1,0.113766,556,0
Arih2,0.113720,557,0
Hnrnph1,0.113501,558,0
Lysmd4,0.113104,559,0
Farp1,0.113009,560,0
Mum1l1,0.112858,561,0
Eri2,0.112669,562,0
Prpf6,0.112417,563,0
Gm28294,0.112357,564,0
Htt,0.112240,565,0
Atp2c1,0.112072,566,0
Srsf4,0.111375,567,0
Tnrc6a,0.110582,568,0
4921518K17Rik,0.110278,569,0
Srpr,0.110253,570,0
Ccnt1,0.110079,571,0
Kdm2a,0.109802,572,0
Usp37,0.109521,573,0
Klf7,0.109442,574,0
Wdr34,0.109285,575,0
Rnf216,0.109233,576,0
Nlgn2,0.108980,577,0
Kantr,0.108773,578,0
Psen1,0.108713,579,0
4930565N06Rik,0.108546,580,0
Nfkbiz,0.108386,581,0
Gm16168,0.107804,582,0
Fndc3a,0.107440,583,0
Zc3h12c,0.107111,584,0
Slc35b3,0.107030,585,0
Csf1,0.106868,586,0
Gapvd1,0.106395,587,0
