gene_name,kME,rank,in_kegg_dopaminergic_synapse
Gprin3,0.218852,531,0
Lmo3,0.218591,532,0
Sytl2,0.218496,533,0
Zbtb38,0.218494,534,0
Arhgef9,0.218358,535,0
Lss,0.218204,536,0
Map2k6,0.218107,537,0
Gm2164,0.216987,538,0
Bend6,0.216347,539,0
Rasal2,0.216109,540,0
Msrb3,0.216019,541,0
Snrk,0.215791,542,0
Vwa5b2,0.215694,543,0
Gm26906,0.215577,544,0
Chrna5,0.215406,545,0
Rgs8,0.215314,546,0
Hacd1,0.215288,547,0
Actr3b,0.215125,548,0
Scube1,0.215104,549,0
Unc13b,0.214584,550,0
Usp25,0.214568,551,0
Las1l,0.214385,552,0
Nostrin,0.214260,553,0
Pnrc1,0.214108,554,0
Gm12709,0.214084,555,0
Ccdc28a,0.213992,556,0
Snx25,0.213737,557,0
Pdzrn3,0.213512,558,0
Frs2,0.212635,559,0
Chd7,0.212593,560,0
Lama5,0.212485,561,0
Tdrd5,0.212480,562,0
Gm2163,0.211573,563,0
AC154683.1,0.211529,564,0
Iffo1,0.211018,565,0
Sfxn5,0.210479,566,0
Abca7,0.209565,567,0
L3mbtl3,0.209320,568,0
Gramd1b,0.209055,569,0
Kansl1l,0.208909,570,0
Slc16a9,0.208718,571,0
Garem1,0.208364,572,0
Cacna1b,0.207738,573,1
Trim43c,0.207626,574,0
Lin28b,0.207525,575,0
Lrrc7,0.207338,576,0
Galm,0.207295,577,0
Slc43a2,0.206181,578,0
Jdp2,0.205733,579,0
Ptpre,0.205177,580,0
Myo10,0.204728,581,0
9430041J12Rik,0.204107,582,0
Yae1d1,0.203819,583,0
Lin7a,0.203628,584,0
Tesk2,0.203560,585,0
Mecr,0.203553,586,0
Slc16a10,0.203065,587,0
Gm11817,0.202484,588,0
Plekhh1,0.202134,589,0
Pdzd8,0.201164,590,0
Flrt3,0.201159,591,0
Begain,0.200667,592,0
Gm28153,0.200507,593,0
Gm14377,0.200206,594,0
Mtus1,0.199972,595,0
Smpx,0.199888,596,0
Sept6,0.199207,597,0
Mx1,0.199017,598,0
Gm28376,0.198912,599,0
1700019D03Rik,0.198758,600,0
Rgs20,0.198568,601,0
Laptm4b,0.198409,602,0
Gm42439,0.198387,603,0
Zc2hc1a,0.197959,604,0
Nup93,0.197898,605,0
Grhl1,0.197763,606,0
9530036O11Rik,0.197567,607,0
Ankrd28,0.197236,608,0
Narf,0.196875,609,0
2700069I18Rik,0.196489,610,0
Depdc5,0.196427,611,0
Pnpt1,0.196382,612,0
Sema7a,0.196248,613,0
Sybu,0.196125,614,0
1700010K23Rik,0.195893,615,0
Chchd3,0.195833,616,0
Slc4a3,0.195448,617,0
Gm39185,0.195229,618,0
Mroh1,0.194757,619,0
Mapre2,0.194656,620,0
Grin2d,0.194587,621,0
Acvr1,0.194220,622,0
Iqgap1,0.194179,623,0
Gap43,0.194072,624,0
Lgi1,0.193311,625,0
Sestd1,0.192736,626,0
Gnaq,0.192375,627,1
Gm27032,0.192294,628,0
Adrb1,0.192174,629,0
Slc25a21,0.191939,630,0
Dusp15,0.191819,631,0
Rsu1,0.191792,632,0
Osbpl1a,0.191469,633,0
Gm28175,0.191448,634,0
Ispd,0.190945,635,0
Eif2ak3,0.190458,636,0
Dync1h1,0.189603,637,0
Asph,0.189422,638,0
Gm7694,0.189284,639,0
Mindy2,0.188814,640,0
Sorl1,0.188329,641,0
Snx30,0.187726,642,0
Slc41a2,0.187348,643,0
Elovl7,0.187335,644,0
Raver2,0.187276,645,0
Aldh1a7,0.186946,646,0
4930570B17Rik,0.186886,647,0
Arfgef2,0.186388,648,0
Pou3f3,0.186243,649,0
Exph5,0.186128,650,0
Focad,0.186050,651,0
Tanc1,0.186027,652,0
B830012L14Rik,0.185982,653,0
St3gal6,0.185788,654,0
Pitpnm2,0.184930,655,0
Trim43a,0.184805,656,0
AC159282.1,0.184780,657,0
Pcx,0.184762,658,0
Idi1,0.184508,659,0
Pmepa1,0.184494,660,0
Sgpp2,0.184281,661,0
Dock2,0.184269,662,0
Il13ra1,0.184147,663,0
