gene_name,kME,rank,in_kegg_dopaminergic_synapse
Las1l,0.285933,406,0
Runx2,0.285832,407,0
Flt3,0.284667,408,0
Lgr4,0.283138,409,0
Rgs11,0.282567,410,0
Vit,0.282544,411,0
Fam204a,0.282416,412,0
Alk,0.282041,413,0
Mindy2,0.280309,414,0
Ttc12,0.279653,415,0
Upp2,0.279486,416,0
Cnpy1,0.279210,417,0
Klhl32,0.279112,418,0
Bclaf3,0.278938,419,0
Sytl2,0.278776,420,0
Neo1,0.278603,421,0
Pitpnc1,0.278410,422,0
Arhgef28,0.278167,423,0
Arhgef9,0.276797,424,0
Atp1a3,0.276714,425,0
Myo10,0.276679,426,0
Acer2,0.276198,427,0
Bend6,0.275457,428,0
Uncx,0.275017,429,0
Mgat5b,0.274412,430,0
Bcar3,0.274267,431,0
Tmem232,0.274206,432,0
Lactb2,0.272746,433,0
Sept6,0.272575,434,0
Arfgef3,0.272221,435,0
Amotl1,0.271857,436,0
Actr3b,0.271692,437,0
Pdlim5,0.271675,438,0
Grin2d,0.270979,439,0
Plekhh1,0.270051,440,0
Snca,0.269901,441,0
Peg3,0.269719,442,0
Evi5,0.268603,443,0
C130021I20Rik,0.267166,444,0
Tspan5,0.266981,445,0
Zdhhc2,0.266052,446,0
Tbl1xr1,0.265808,447,0
Slc39a12,0.265297,448,0
Nek1,0.265040,449,0
9330182L06Rik,0.264475,450,0
Heatr5a,0.263942,451,0
Gm17359,0.263393,452,0
Gm35188,0.263015,453,0
Rras2,0.261568,454,0
A430106G13Rik,0.261329,455,0
Nlk,0.260789,456,0
4921534H16Rik,0.260716,457,0
Mtus1,0.260675,458,0
Arnt,0.260239,459,0
Mctp1,0.260165,460,0
Pdzrn3,0.260143,461,0
Nrcam,0.259965,462,0
Gm11149,0.259582,463,0
4930578G10Rik,0.259136,464,0
Bckdhb,0.257918,465,0
Dok5,0.257566,466,0
Nav3,0.256278,467,0
Usp25,0.256197,468,0
Gm27032,0.255880,469,0
Inpp5k,0.255512,470,0
Rassf8,0.255319,471,0
Sh3bgrl2,0.255010,472,0
Etl4,0.254819,473,0
Ell2,0.254321,474,0
Med12l,0.253286,475,0
Sybu,0.252870,476,0
Dusp15,0.252560,477,0
Garem1,0.251491,478,0
Gm2164,0.249852,479,0
Rbm20,0.249676,480,0
Gm42397,0.248963,481,0
St8sia1,0.247393,482,0
Khdrbs2,0.247186,483,0
Mapre2,0.246587,484,0
Ptchd4,0.246394,485,0
Gm12394,0.246305,486,0
Gfpt2,0.245583,487,0
Tlk1,0.245407,488,0
Slc6a15,0.245058,489,0
Tshz1,0.244971,490,0
Lgi1,0.243517,491,0
Tbc1d2,0.243197,492,0
Osbpl1a,0.243106,493,0
Kctd1,0.242584,494,0
Lncbate1,0.242274,495,0
Tacr1,0.242100,496,0
Bicd1,0.242004,497,0
Azin2,0.241654,498,0
L3mbtl3,0.241545,499,0
Gm26804,0.241530,500,0
Gm44593,0.241509,501,0
Gpcpd1,0.241352,502,0
Mapk9,0.241312,503,1
Raver2,0.241050,504,0
Pnrc1,0.240652,505,0
Yae1d1,0.240537,506,0
Rap1b,0.240476,507,0
Adamts17,0.240471,508,0
Gfra1,0.240291,509,0
Ispd,0.240105,510,0
Gnaq,0.240049,511,1
Plek2,0.239521,512,0
Iqgap2,0.239356,513,0
Hmbox1,0.239108,514,0
Sfxn3,0.238940,515,0
Lnx1,0.238385,516,0
Scube1,0.238265,517,0
Mast4,0.238136,518,0
Dscaml1,0.237918,519,0
Gmpr,0.237650,520,0
Gpm6b,0.237102,521,0
Hunk,0.236868,522,0
AC159282.1,0.236247,523,0
Hmgcr,0.235832,524,0
Ror2,0.235817,525,0
Fgf20,0.235042,526,0
Zc3hav1,0.235031,527,0
Nostrin,0.234928,528,0
Ppargc1a,0.233978,529,0
Slc16a9,0.233933,530,0
Ppm1e,0.233838,531,0
Tubd1,0.233558,532,0
Vwa8,0.233536,533,0
Hmgn3,0.233477,534,0
9530036O11Rik,0.233275,535,0
Bcan,0.233137,536,0
C79798,0.232047,537,0
Tcp11l1,0.231512,538,0
Lmcd1,0.230058,539,0
Fgfr1,0.228683,540,0
Snrk,0.228672,541,0
2010300C02Rik,0.228378,542,0
Akap13,0.227511,543,0
Prkdc,0.227294,544,0
Nr6a1,0.226491,545,0
Pparg,0.226291,546,0
Agfg1,0.226098,547,0
Snx25,0.225759,548,0
Il13ra1,0.225474,549,0
Pam,0.225054,550,0
Acsl3,0.224632,551,0
Galm,0.224566,552,0
Pigk,0.223984,553,0
Sclt1,0.223897,554,0
Ano10,0.223751,555,0
Ptpn3,0.223488,556,0
Mkx,0.223300,557,0
Lin7a,0.222853,558,0
Cyp51,0.222686,559,0
Gm30085,0.222069,560,0
AC154683.1,0.221770,561,0
Platr31,0.221418,562,0
9430041J12Rik,0.221009,563,0
Edem3,0.220548,564,0
Slc22a15,0.220132,565,0
Tdrd5,0.220057,566,0
Nup93,0.219888,567,0
Luzp1,0.219884,568,0
Ankrd28,0.218987,569,0
Pde8a,0.218958,570,0
Ano4,0.218887,571,0
Grk5,0.218738,572,0
Laptm4b,0.218689,573,0
Rgma,0.218383,574,0
Plch1,0.218185,575,0
Pitx3,0.217866,576,0
Flrt3,0.217838,577,0
Rsu1,0.217534,578,0
Mtus2,0.217147,579,0
Msrb3,0.217082,580,0
Nipal2,0.216974,581,0
Kctd6,0.216970,582,0
Grhl1,0.216924,583,0
Ntng2,0.216604,584,0
Adrb1,0.216565,585,0
Gm48166,0.216092,586,0
Gm20319,0.216022,587,0
Nr3c2,0.215974,588,0
Clip1,0.215931,589,0
Hmgcs1,0.215810,590,0
Gm2824,0.214773,591,0
Plce1,0.214581,592,0
Gnal,0.214106,593,1
Lima1,0.213658,594,0
Ypel2,0.213404,595,0
Exph5,0.212644,596,0
Vps13a,0.212422,597,0
Syt9,0.211951,598,0
Tanc1,0.211447,599,0
Slc44a1,0.211436,600,0
Kcna2,0.211195,601,0
Spata6,0.210733,602,0
Rarb,0.210024,603,0
Ifitm10,0.209603,604,0
