gene_name,kME,rank,in_kegg_dopaminergic_synapse
Agpat4,0.316499,334,0
Cpeb3,0.314967,335,0
Vit,0.314064,336,0
Plekha7,0.313317,337,0
Lgr4,0.312972,338,0
5330434G04Rik,0.312235,339,0
Rgs8,0.311858,340,0
Sgip1,0.311337,341,0
Carmil3,0.310729,342,0
Gm35501,0.310160,343,0
Il1rapl2,0.309861,344,0
Rps6ka3,0.309073,345,0
Gm48742,0.308088,346,0
Sdc2,0.307550,347,0
Pcsk1,0.307078,348,0
Gm12709,0.306170,349,0
Cys1,0.305612,350,0
Myrip,0.304823,351,0
Rin2,0.304392,352,0
Prkcb,0.303779,353,1
Mx1,0.303023,354,0
Sncg,0.302631,355,0
AC159282.1,0.301089,356,0
Dusp15,0.300505,357,0
Lnpep,0.300353,358,0
Gm38407,0.298937,359,0
AC154683.1,0.298157,360,0
Stxbp1,0.297934,361,0
Ttc12,0.297735,362,0
Cntn1,0.297551,363,0
Runx2,0.297502,364,0
Ablim2,0.297334,365,0
Cacnb2,0.297078,366,0
Gm42439,0.296698,367,0
Smpx,0.296491,368,0
Egfem1,0.296177,369,0
Nsf,0.296110,370,0
Aldh1a1,0.295977,371,0
Frmpd3,0.295684,372,0
Tenm2,0.294603,373,0
Tmem232,0.293971,374,0
Zfp521,0.293932,375,0
Gm44593,0.292718,376,0
Grin2d,0.292684,377,0
Tbl1xr1,0.292456,378,0
9430041J12Rik,0.291435,379,0
Amotl1,0.290219,380,0
Naaladl2,0.289966,381,0
Fdft1,0.289633,382,0
Lama5,0.289489,383,0
Lmcd1,0.289353,384,0
Las1l,0.288453,385,0
Ripor2,0.287815,386,0
Vill,0.287442,387,0
Bckdhb,0.285044,388,0
Cdc42ep3,0.284824,389,0
D430041D05Rik,0.284469,390,0
Cyp51,0.283592,391,0
Miat,0.283374,392,0
St8sia6,0.283264,393,0
Coro2a,0.282924,394,0
Zfp57,0.282808,395,0
Myo10,0.282696,396,0
Raver2,0.282495,397,0
Lbh,0.281024,398,0
Dip2b,0.280818,399,0
Gm47134,0.280736,400,0
Necab3,0.280469,401,0
Adamts16,0.280224,402,0
Gm36388,0.280134,403,0
Sh3bgrl2,0.279654,404,0
Man1c1,0.279595,405,0
Ror2,0.279485,406,0
C78859,0.278916,407,0
Zfyve28,0.278595,408,0
Inpp5k,0.278576,409,0
Sfxn3,0.277577,410,0
Acsl3,0.276750,411,0
Dlgap3,0.275322,412,0
Rasa2,0.274849,413,0
Plekhh1,0.273429,414,0
St6gal1,0.273268,415,0
Cit,0.271748,416,0
Tuft1,0.271698,417,0
9330182L06Rik,0.271673,418,0
Galm,0.271532,419,0
Gm14377,0.271235,420,0
Itsn1,0.271089,421,0
Tesk2,0.270413,422,0
Fam204a,0.270340,423,0
Tbc1d2,0.269122,424,0
Tspan5,0.268366,425,0
Slc25a21,0.267853,426,0
1700111E14Rik,0.267826,427,0
Gm26979,0.267761,428,0
Ptpn2,0.266579,429,0
Insig1,0.266350,430,0
Osbpl10,0.266235,431,0
Plxna4os3,0.265642,432,0
Kif16b,0.265407,433,0
Adamts10,0.265117,434,0
Fam167a,0.264613,435,0
Yae1d1,0.263910,436,0
Abca7,0.263849,437,0
Lss,0.263825,438,0
Krt222,0.263406,439,0
Gm39185,0.261381,440,0
Gm11655,0.258480,441,0
Oprk1,0.257621,442,0
St8sia1,0.256888,443,0
Chd7,0.256591,444,0
Slc23a2,0.256004,445,0
Aass,0.255975,446,0
Cdh6,0.255945,447,0
4930567K20Rik,0.255111,448,0
Gm28376,0.254812,449,0
Coro6,0.253835,450,0
Tmem207,0.253404,451,0
Pitx3,0.253228,452,0
Cyyr1,0.252728,453,0
Diras2,0.252713,454,0
Pdzrn3,0.252711,455,0
Slitrk4,0.252473,456,0
1700019D03Rik,0.252195,457,0
1700010K23Rik,0.252110,458,0
Itgae,0.251873,459,0
Ptchd4,0.250309,460,0
Mapk9,0.250263,461,1
Neo1,0.248468,462,0
Kctd1,0.248218,463,0
Agfg1,0.247827,464,0
Myo15,0.247294,465,0
