"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_brown"
"BANP","turquoise","turquoise",0.271419020075465,-0.155837889355889,0.129872673980807,0.0544564997174918
"ZFPM1","grey","grey",-0.00782669991172812,0.053410921669743,0.0523423607112056,0.0480120742597414
"ZC3H18","grey","grey",0.0336014163593899,0.0540925520940431,0.114401775558277,0.0731729309861454
"MVD","grey","grey",0.0226964542472551,0.0883788415233407,0.128574272765094,0.0830242476422542
"SNAI3-AS1","grey","grey",0.0669193810601026,0.00943687842504914,0.0916682704626747,0.0665023974098907
"APRT","blue","blue",-0.0882834053888892,0.170077211724195,0.0796163859581645,0.0583208174702734
"TRAPPC2L","blue","blue",-0.0949942215318825,0.176676878600303,0.076230142786003,0.0656930326089085
"ACSF3","grey","grey",0.088292900348679,-0.0179109001981176,0.0814845020283359,0.0383177408363009
"ANKRD11","grey","grey",0.14887457414132,0.0265841018197723,0.210869817716227,0.178929618663183
"SPG7","grey","grey",0.131791744509049,0.0249008106772648,0.16755183703868,0.0906436600091087
"RPL13","blue","blue",-0.182672682547845,0.229824697946083,0.0498555655799572,0.0785399623864037
"CPNE7","grey","grey",-0.00935987059971833,0.0960863178021866,0.0916622441178799,0.0615514718679903
"CHMP1A","blue","blue",-0.0927276016272899,0.172220736742478,0.0992321979039002,0.0767229514382893
"CDK10","grey","grey",0.113380369276995,-0.0295269928093918,0.104813064618887,0.0657539397543851
"VPS9D1","turquoise","turquoise",0.235316959731802,-0.120882882114657,0.124532013545795,0.041779747794704
"SPIRE2","grey","grey",0.16810542907802,-0.0494976629316243,0.137690880737976,0.0743657253030469
"TCF25","blue","blue",-0.149059312641765,0.350326463502395,0.194064325631606,0.104448476979235
"DEF8","blue","blue",-0.0141070457817827,0.130801291498769,0.122042354332333,0.103265269903361
"DBNDD1","grey","grey",-0.0498043132380101,0.145116085805767,0.115190961450803,0.101694035808384
"GAS8","turquoise","turquoise",0.277387321180072,-0.153960849543894,0.130283148997292,0.053901917566555
"FAM157C","turquoise","turquoise",0.362093317940306,-0.241857771905006,0.117786961121031,0.0335716376368803
"RPH3AL","turquoise","turquoise",0.164782969174484,-0.0762716293860906,0.100298477725419,0.0658152855355626
"C17orf97","grey","grey",-0.0150617469549984,0.0700205465249224,0.0582000193746478,0.0409882193434477
"VPS53","turquoise","turquoise",0.128715612381961,0.0439217242943011,0.202462853292215,0.164753632921819
"GLOD4","blue","blue",-0.0812161746450875,0.189948163617927,0.103308520317656,0.0612689554616741
"MRM3","grey","grey",-0.0434747283152607,0.101822089820947,0.0675873307116693,0.0512366269391584
"NXN","turquoise","turquoise",0.193770041844155,-0.10473291257525,0.0971036053632584,0.0497728680389846
"TIMM22","blue","blue",-0.0902530466042181,0.169360904186028,0.0853619404244547,0.0733155180498691
"ABR","grey","grey",0.105021840447667,0.051919005579978,0.192917208311405,0.146911970518078
"YWHAE","blue","blue",-0.259325355204443,0.38835206445156,0.118875810076535,0.0799447670934508
"CRK","blue","blue",-0.0186253440358898,0.136507039844813,0.14462491336435,0.124669310015436
"INPP5K","blue","blue",-0.0641617347881685,0.149947795104257,0.0876539503261086,0.0555126735442997
"PITPNA","blue","blue",0.00807255906297132,0.152525866209849,0.174733438360343,0.155766076955587
"SLC43A2","grey","grey",0.0687425055758654,0.0399079237325621,0.141414041494272,0.0768515943758854
"PRPF8","blue","blue",-0.0281199934470427,0.138580986776969,0.132625854938139,0.155147390107479
"MIR22HG","grey","grey",0.045022298390075,0.0111898747347938,0.0633471820348511,0.0565043006530001
