"gene_name","module","color","kME_grey","kME_turquoise","kME_green","kME_yellow","kME_red","kME_blue","kME_pink","kME_brown","kME_black"
"Zfp141","grey","grey",0.0386920088954522,-0.0518982543429984,0.0149120575818453,0.0373515865070404,0.0302607269704967,-0.0142473678521264,-0.0178509146558491,0.049718203576697,-0.0150250752140679
"Zfp977","turquoise","turquoise",-0.0246550656468633,0.0912202868278456,0.0167227453245082,-0.0474577559957772,-0.0563726366927637,-0.00226937191583288,0.0364557676298262,-0.0736048022950411,0.027080190318573
"Zfp976","turquoise","turquoise",0.00246208689273554,0.0999524680385346,0.0222072014466897,-0.0515067404735631,-0.0451899532180047,-0.0236222296920679,0.0207004297166645,-0.0687295785535861,0.0501858829999507
"Zfp975","grey","grey",0.08843888673595,-0.0052335246986679,0.0691414881642396,0.0609626241583268,0.00654991153610542,-0.0433922667430586,0.0207020232371611,0.0504572437898862,-0.00507458656611124
"Zfp936","grey","grey",0.0174357928762451,0.0268648549652385,0.0280726859785061,0.00354648804661576,-0.0118072304988737,-0.0158091984724638,0.02043923666644,-0.0108351951780805,0.00869357348695493
"Zfp715","grey","grey",0.0502552043944032,-0.0193712389163621,0.0102182897992154,0.0264319295686009,0.0247025371018672,-0.0191107824993014,-0.00219090345911322,0.0366866952253656,0.00495123723150103
"Iglon5","grey","grey",0.0354647156681735,0.0695406331768901,-0.0441372458995996,-0.0644849399535104,0.0177721781743661,-0.0078718728379784,0.00182213170811615,-0.0372147246348966,0.0719428279642527
"Zfp658","grey","grey",0.0163515544039529,-0.00451002463775376,0.0245702216055928,0.0266547988578075,-0.00309898732299004,-0.0147869433716981,0.0187295159675939,0.0143964392162719,-0.0133110818675382
"Zfp719","grey","grey",0.0449859972616035,-0.0157341839015709,0.0154352540577328,0.0251218568556579,0.0167120008176561,-0.0207034024934813,0.00504105322236999,0.029941845602586,0.00212525992970713
"2410002F23Rik","grey","grey",0.0739443105909283,-0.112046896193083,-0.0349204373933106,0.0504037850460899,0.0917144031856087,0.0329852448283968,-0.0642786183838375,0.106936530572595,-0.0181610625317221
"Shank1","grey","grey",0.143803974407392,-0.11194666434678,-0.0622499114222338,0.0379246205361893,0.166989104944212,-0.0103824437382327,-0.0737997835850466,0.142976762472104,0.0633268059017277
"1700008O03Rik","turquoise","turquoise",-0.0415122640705739,0.105868462950212,-0.0150091439592623,-0.0693083813701471,-0.043850554463416,0.00281809768398688,0.0545296160264388,-0.0981078733995708,0.0478890696940471
"Syt3","turquoise","turquoise",-0.0285347481915433,0.111839199651906,-0.00129682727521086,-0.067643891761442,-0.0487618261790286,0.0236719804764034,0.0676686360992791,-0.09801145006122,0.0371951571958996
"Lrrc4b","brown","brown",0.12754173212814,-0.148058988900371,0.0296372639619204,0.132783093514087,0.105259125775015,0.0404978273174067,-0.0470181096062291,0.173015078075521,-0.0533636556046153
"Josd2","turquoise","turquoise",-0.0975939761598931,0.12088677116437,-0.001955735910604,-0.0834976598246105,-0.102003098258492,0.0958426624821433,0.0737803155977551,-0.136639320388632,-0.00206666226820835
"Emc10","blue","blue",-0.0181812898768897,-0.0653726816447566,0.00383009719797239,0.0631043411285737,-0.00531031937138792,0.141299813884601,-0.0189292817659375,0.046711344192381,-0.079360100126648
"Fam71e1","grey","grey",-0.015387041684086,0.0764847314268478,-0.0135688606925807,-0.0504201286510217,-0.0318556933974629,0.0345735607397381,0.0409398567683987,-0.0670477449934646,0.037865777040584
"Nr1h2","grey","grey",-0.0159842034635674,0.0243258621847424,-0.0116101068285357,-0.0238452609508968,-0.0103769971147988,0.0465387010383635,0.0113331196174739,-0.0272370491579659,0.0146134863126372
"Gm15396","turquoise","turquoise",-0.00279098729281106,0.0893979510435663,0.0169121209878808,-0.0437240467891639,-0.0443589915122271,-0.0107433519236997,0.0349825474831797,-0.0680083401819911,0.0284123972932532
"Kcnc3","grey","grey",-0.0171824602888988,0.0780214600783435,-0.0120498277458003,-0.0602487730599681,-0.0406674873704424,-0.00180587601748686,0.0230444517342114,-0.0668349847707906,0.0280131946903901
"Myh14","turquoise","turquoise",-0.140841049798059,0.340014421406752,-0.0608103832251103,-0.257975321242957,-0.15835268347529,0.0370758621919904,0.102974554807473,-0.317286983048835,0.145861774582854
"Vrk3","grey","grey",0.013620451548582,0.00293121581761417,0.0105044439420323,0.0123968408873759,7.53061601597166e-05,0.0312662391800747,0.00445469687127915,0.00454799687558461,-0.00538240843339186
"Tbc1d17","grey","grey",-0.0309036303596488,0.000450763132042161,-0.0162600523280997,-0.012084536159387,-0.00924222376392035,0.070759276588193,0.00356121834300708,-0.0158504500901214,-0.0207602835468509
"Akt1s1","grey","grey",-0.0265358414532954,0.0258374416117468,-0.043346460532408,-0.0430751377893709,-0.00154962872759262,0.0516154738332885,0.0032352652901751,-0.0358370399522195,0.0244139174591528
"Pnkp","grey","grey",0.0199331288681298,0.00461939094177612,-0.0488104979326231,-0.0381049549211386,0.0389730664004228,0.0191049633001629,-0.0146474175160666,-0.000253254657161882,0.0372823024598291
"Ptov1","blue","blue",-0.0295681772976593,-0.048630806614251,-0.0297938899824318,0.00630892186638591,0.0125997723638705,0.181507434958265,-0.0223286594144717,0.016397631891534,-0.046548836031741
"Med25","grey","grey",0.0447722895848523,-0.0633509939548914,-0.0223613902462969,0.0272273216771082,0.064816436471174,0.0344014372932985,-0.0146356760989249,0.0624417728727869,-0.00184368609528723
"Fuz","grey","grey",0.0579045715271649,-0.106986337768104,-0.00520588986489998,0.0627242219581266,0.0784646673902615,0.0212939454820031,-0.0494732094860581,0.10370811746623,-0.0374653426646911
"Ap2a1","turquoise","turquoise",-0.00322753730116709,0.0982733656251598,-0.0536191296940566,-0.0954572035040911,-0.00508218260965586,0.0988345364580237,0.0222571917405866,-0.0846536712853359,0.0814504520350873
"Cpt1c","grey","grey",0.11543482588289,0.0528558972947528,-0.0740470490997437,-0.0866176743213975,0.0857783833360751,0.00989459178339112,-0.0180528657266025,-0.00744249794479887,0.102135877732149
"6530437J22Rik","grey","grey",0.0234587983251234,-0.0145361757015794,-0.00542437890245007,0.0105122521854215,0.0155984143104571,0.00170205843491381,0.000397327038310081,0.0229437171638148,-0.00287164979044621
"Prmt1","grey","grey",0.00518332011695821,-0.0422524592278021,-0.0421397437870697,0.00171745296820624,0.0361068968599646,0.13125328634608,-0.0269290218108386,0.0271505314761786,-0.00526868099950786
"Gm15545","grey","grey",0.0305614208142113,-0.0200180341153861,-0.0100290236271096,0.00521104579100153,0.0243031541585117,-0.0065338402950581,-0.0296028013752846,0.023516883106537,-0.000776134178153379
"Irf3","turquoise","turquoise",-0.0674200477179903,0.109925241599254,-0.0118928454021983,-0.0797576701551075,-0.0808512425054526,0.0505619417808614,0.0389686751710191,-0.109435336114163,0.0266361057025894
