gene_name,kME
L3mbtl4,0.320264717699651
Clybl,0.318266727223462
Dip2b,0.317936177545906
Dok6,0.317817560147602
Rin2,0.317593399924076
Cacna1a,0.317048547702886
Sgip1,0.31608042788765
Cyth3,0.314516138519873
Wipf3,0.31426107822418
Specc1,0.313775004899277
Gm35501,0.31375850686142
Ppfia2,0.313553759650948
Lnpep,0.31299681922495
Tfdp2,0.312741409164419
Nrg2,0.31272749155638
St3gal1,0.312390660142185
Gm40841,0.311804974148081
C79798,0.310806039125166
Slc23a2,0.310632663731262
Prickle2,0.310333858975604
Slco3a1,0.310028252121305
Plekha5,0.309850064949243
Zfp521,0.307741393055923
Ptar1,0.3073306717944
Cpeb3,0.30647993454003
Pknox2,0.306015516222058
Fam102b,0.305905816838024
A430106G13Rik,0.305701980316148
Siah3,0.305558151050677
Slc10a4,0.305461136393473
Pantr1,0.3048698378238
Rasa2,0.304792927765921
Arap2,0.304185227088825
Lncbate1,0.30240549042036
Ankrd24,0.301744202842951
Rgs11,0.301668154570336
Gm20319,0.301448853204221
Mapk9,0.301401214684009
4933411O13Rik,0.300242110243645
Spag5,0.29985364252623
Arhgap5,0.299447422644819
Bckdhb,0.299199526585562
Ogt,0.29847667183162
Zfp618,0.29798108229487
Pitpnc1,0.29796728033887
C230014O12Rik,0.297155660729756
Mitf,0.297130785499659
Grin2c,0.296330351897839
Mmp16,0.296144056395585
Ltbp1,0.295904655284399
Trpm3,0.295755406346143
7420701I03Rik,0.294859975824542
Klf8,0.294451512871045
Apba2,0.294236852985387
2900011O08Rik,0.29376463891421
Ablim2,0.293282874784474
Cacna2d3,0.292867119644279
Plekha7,0.290302082751804
Fam167a,0.289943400485324
Upp2,0.289710147930058
Rimbp2,0.289417307446851
Slc20a1,0.287866722113838
Hmgcr,0.286950295458815
Zfhx4,0.286696689454554
AC149090.1,0.28494674376535
Cacnb2,0.284854203425202
Pdgfc,0.284243071261093
Frmpd4,0.283456621612107
3300002A11Rik,0.28217925303997
Evi5,0.281313197873143
Stmn2,0.28096309268997
Mboat1,0.278630375763859
Osbpl10,0.277984112654919
Neo1,0.277877433081337
Dnajc6,0.277785359559812
Slc6a1,0.277530842213213
Fhit,0.276082380599171
Asap1,0.275977752294209
Kif16b,0.275841275661609
Lactb2,0.275008301920642
Myrip,0.274868433721431
Gfpt2,0.274462164101009
Tmem232,0.273582380784466
Mylip,0.272903236010984
Gm26804,0.27288864815555
Ttc12,0.272431442468801
Zmat4,0.272397050096527
Plxna1,0.272123334738609
Agtpbp1,0.271086574788642
Slc8a3,0.270477916891208
Fryl,0.270293182460393
Klhl32,0.269823874935211
Sh3gl2,0.269618616457188
Lekr1,0.269282643162139
Atg7,0.269086804458917
Adamts16,0.269003954365297
Mad1l1,0.26895625169399
Glud1,0.268906999803655
Gm35188,0.268896436043565
Pappa,0.268534361949532
St6gal1,0.267605497162599
E2f3,0.267297543884531
Fam204a,0.267233004920519
Drp2,0.266875234089421
Cers6,0.266401073805846
Cpq,0.266382197223871
Ror1,0.26635658171834
Gm45881,0.265292444819233
Uncx,0.265185405492137
Adam19,0.263861861316168
Aldh1a1,0.263823053616011
Arnt,0.263271202477318
Tacr1,0.262866740017255
Cachd1,0.262468817887704
Gm13963,0.262436763099509
Tcp11l1,0.262414614805956
Micu3,0.26144352998353
Ldhb,0.261254070114841
Gm45904,0.259895120463749
Cnpy1,0.25971613259112
Myh14,0.259279607697099
Ammecr1,0.258060301844905
Plcl2,0.257783308437285
D430041D05Rik,0.257674101217042
Zfyve28,0.257538060449821
Slc24a3,0.257376851948721
Pvt1,0.257347473123137
Mfsd6,0.256869744659729
Gm11655,0.256602853193702
Gm11149,0.256163227579228
Trps1,0.256141380115026
Nrcam,0.255561445423791
Pdlim5,0.255421449977874
Lgr4,0.254184317493361
Gm30085,0.253307172283003
Vill,0.253294167683588
Gm47134,0.252662864758294
Ttyh1,0.252241023918989
Chrna4,0.252210722930308
Srebf2,0.251471653167351
Coro2a,0.250483575819027
Olfm2,0.250179835066346
Gria2,0.250119119063655
Arhgap21,0.250104462778165
Flt3,0.249829247625365
Hecw1,0.248787546486013
Sfxn3,0.248705630900485
Cntn1,0.248227450272662
Tbl1xr1,0.24797827851038
Whrn,0.247779033238998
Cdc42ep3,0.24761768215305
Rps6kc1,0.247394865074353
Sh3bgrl2,0.246974070935271
Platr31,0.246334810381717
Runx2,0.246176508514301
Man1c1,0.245583114430383
Atrnl1,0.245476360520999
Hmgcs1,0.244946531477473
Pxmp4,0.243823948970876
Cyp51,0.243403956848644
Tle2,0.242973514280928
Rab6b,0.242726004469944
Lbh,0.241674924164721
St8sia6,0.241578243995012
Xylt1,0.241045860159125
Vit,0.240938825458669
Stx8,0.240193940577603
St8sia1,0.24000697369002
Bicd1,0.239724116726645
Clip1,0.238815477435963
Fgf20,0.238487042046853
Nsf,0.23807096179463
Pkp4,0.237954733555415
Dlgap3,0.237941117522265
Map4,0.237532942658261
Spred2,0.237401440118521
Fdft1,0.236847788254255
Nek1,0.236820272115372
Pcsk2,0.236369145694068
Gpm6b,0.236120194056921
Gm29530,0.236095276708608
Itsn1,0.235776961496796
Ablim1,0.235597494080392
Gm42397,0.235317198301763
Wdr25,0.23527420265758
Agbl4,0.234791538443273
Tspan5,0.233628333432898
Tshz1,0.233219087396378
Alk,0.23314501248744
Pitpna,0.232624633196038
Dst,0.232553071388097
Gm38407,0.231576837013668
Btbd11,0.231392414116283
Pparg,0.231350180517607
Gldn,0.231319742933952
Agfg1,0.230795165008764
Carmil3,0.230754162911827
Msmo1,0.23072072970057
4930578G10Rik,0.230543339315921
Lmcd1,0.230416332228236
Heatr5a,0.228929690915632
Dok5,0.228763615914548
Nlk,0.228324280846366
Tlk1,0.227474336084353
