"gene_name","module","color","kME_yellow","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_red","kME_green"
"Mpc1","blue","blue",-0.0733787762281093,0.132928120111535,0.0999586447788513,0.103408482636425,-0.112822700743307,0.0167645855301387,0.0550404945171402
"Sft2d1","turquoise","turquoise",-0.00039018699286773,-0.0119671822986809,0.0355389593504724,-0.000737950518863506,0.0404248746418125,0.0129253965492825,0.00270529637555946
"T2","grey","grey",0.0698472410368066,-0.0174670207332101,-0.027640797827447,-0.00769019523981129,-0.00208866903538945,-0.050641306816917,0.0386300264008231
"Gm16702","grey","grey",0.0539259432189004,-0.0267768455093346,-0.0235422491426698,-0.00722725635596693,0.0103903167838537,-0.0363107010358814,0.00595177341733512
"Pde10a","grey","grey",-0.13591912900889,-0.00540805169216674,0.18645250826156,-0.104769145896044,0.163046146846984,0.165161490854682,-0.0438150681739083
"1700010I14Rik","turquoise","turquoise",0.000264896974433415,-0.0596128263643257,0.035130182342236,-0.0239921042346261,0.100671953878366,0.0410676839257024,-0.0374098522157781
"Qk","blue","blue",0.00381072636056142,0.412988255496408,0.303270666786033,-0.00612095729222992,-0.271956165333896,0.442424122633073,-0.274082727059774
"Pacrg","turquoise","turquoise",-0.0851513521894789,-0.365558418058665,0.00217695326786418,-0.0542900067032516,0.46538966460685,0.0808933762719505,-0.186932898486306
"A230009B12Rik","turquoise","turquoise",-0.0564279055268549,-0.185466314988267,-0.0187781753977314,-0.0450525663860854,0.229820273935586,0.0248540498738432,-0.082080875047019
"Gm16168","turquoise","turquoise",-0.0753203085624125,-0.265975890535628,-0.0204741148242575,-0.0465634715928506,0.327660627780411,0.0261819481600189,-0.0989177585047444
"Park2","turquoise","turquoise",0.0858441488511148,-0.130671365080824,0.0954792777054939,-0.115054369927409,0.248572258740355,0.129233029264319,-0.0888210356126036
"Agpat4","blue","blue",-0.148148693273417,0.410428934518995,0.210819184462196,0.0679077621220518,-0.375729411279912,-0.0166396207452198,0.235604336645654
"Map3k4","grey","grey",0.0508367341610741,0.0291667075657602,0.0903013016480339,-0.0268443030338578,0.0201460021213328,0.06309344064547,-0.00263977255232514
"4732491K20Rik","grey","grey",0.018356893232796,-0.021211996988538,-0.00233375743361355,0.0174282243513332,0.0188865147760312,0.00182666395988279,-0.0184955850284639
"Igf2r","turquoise","turquoise",0.0309223699839542,-0.0204197996340933,0.0147544465619553,0.00306024072679821,0.032147142409844,0.0200566227609505,-0.020237036356135
"Airn","turquoise","turquoise",0.0697123947860937,-0.0352142488096461,0.00990596246445851,-0.00722109572920108,0.0457405652723893,0.0139705753016299,-0.021764376371211
"Pnldc1","grey","grey",-0.0250930721765036,0.000710121006167755,0.0237938989321842,0.00497332927245401,0.0135782693943189,0.00250450093782457,0.0041908705438771
"Mrpl18","brown","brown",-0.0124838947409704,-0.00759739752989934,-0.0120740207902044,0.124069718557211,-0.00820463838506086,-0.0258423619846213,0.00853935311360752
"Tcp1","turquoise","turquoise",-0.000328979995548162,-0.0285228416096804,0.0080446856043724,0.117597629825813,0.0365575832445797,0.0127670787433169,-0.0329364432885979
