"gene_name","module","color","kME_grey","kME_yellow","kME_salmon","kME_green","kME_brown","kME_blue","kME_turquoise","kME_red","kME_cyan","kME_magenta","kME_black","kME_purple","kME_greenyellow","kME_pink","kME_tan"
"Kcnq5","yellow","yellow",0.130992697829164,0.350997459189695,0.23971940894995,-0.0701958246715856,-0.14662336269117,0.181405354097647,-0.00444086576186666,0.305786718926897,0.236207389939059,-0.195138335476134,-0.0447586362324974,-0.0225037478720655,0.127129783432168,0.0664633381443297,-0.120689842918936
"Rims1","brown","brown",0.142900575071806,-0.0866631813869199,0.216874155625905,0.0683405873797258,0.55638602357315,-0.480683967998208,-0.102920855805393,0.34429576758333,0.10121529065236,0.256372031108169,0.136526405443712,0.405219050335497,0.414774715765067,-0.338339153644854,0.0390228799031686
"Ogfrl1","magenta","magenta",0.0382542464390705,-0.0529723837539808,0.022039098563341,0.0891640862944294,0.0598697372084139,-0.0381561924096547,0.0638001765700532,-0.0346771875455543,-0.0277907004976645,0.102715252582752,-0.00338178719761824,0.0835715710089299,-0.0191150521396941,0.000688830022229641,0.0204011689850187
"B3gat2","green","green",0.0843347424814603,0.0802958962467454,0.172482318641277,0.255750424860435,-0.0601386844138341,0.0964450043512002,-0.0286994052703723,-0.0241065239196272,0.0306766055874448,0.0702636319599122,-0.0660642030280089,0.136150424767688,-0.0892773698955335,0.0178631235406228,-0.0685161287547202
"Smap1","grey","grey",0.114480276390348,0.0107636797703151,0.0300595363073879,0.0476042854862935,0.046905795378734,0.0253022960386964,0.010104647246776,-0.00813535157200728,0.0282243441238498,0.0580612991490922,0.027463158263218,0.0557935317757116,0.00756191677063685,-0.00877036177939552,0.0175379260847709
"Sdhaf4","turquoise","turquoise",-0.00103374197835856,-0.0139655728037266,-0.00622158311727423,0.00508864497562683,0.017215221534885,-0.0247440077651178,0.155856847494793,0.000857071440335653,-0.00738688873049619,0.013767321915855,-0.0222195852929535,0.0130224086142383,-0.0109074433328435,0.0660916807573667,-0.00920741588582676
"Fam135a","grey","grey",0.182101826168435,0.0491177013298956,0.0500797791770566,0.115527852086249,-0.011922385572648,0.123466243260267,-0.0759571043126138,-0.0333777896891065,0.00305280445161787,0.0813515501385413,-0.0263599824906464,0.0541720296523114,-0.0376483188965179,-0.00337878476080018,0.0258267376410353
"Lmbrd1","grey","grey",0.0674311293175623,-0.0150127412268697,-0.0199092792983857,0.0279367371471835,-0.00611270707528834,0.0511693963767878,-0.0124887555108483,-0.0461951091663764,0.00920481677840552,0.0474788338762982,0.0176657551477021,-0.00813689022617776,-0.00744062198989999,0.058652044899082,0.0609343884532698
"Adgrb3","brown","brown",0.203581655095915,0.124127612244238,0.314161944313418,0.153753579014017,0.398346835315492,-0.235592189020522,-0.0952953724960146,0.243054765071227,0.293467573855436,0.0958923107931226,0.231328668868325,0.384155238757943,0.278209887124444,-0.274888908172298,-0.11535113118118
"Phf3","blue","blue",0.0487196633030268,0.0526762520217414,0.0333865367384619,0.0506054719895336,-0.0884307634337382,0.110677237591565,-0.0292966758670853,-0.0183374629465686,0.0133405154624074,-0.0137803335827728,-0.0148757082967451,-0.00185447322622941,-0.0579833477884996,0.0421666643034132,-0.014050826960495
"Ptp4a1","grey","grey",0.000863233009958275,0.00822590190664861,0.0291653433338497,0.0191098363527623,0.00795566118058653,-0.0133614492316648,-0.0168924159497081,0.0371384871145333,-0.0190292679595964,-0.00577633058605868,-0.0330862774794584,0.0218196525012867,-0.00294095360126012,-0.0234408029147017,-0.0350216926488795
"Khdrbs2","blue","blue",0.150836616742338,0.695701856981007,0.578395469611755,0.22969213338523,-0.424452966674693,0.446948713275899,-0.108340673688286,0.356705437821051,0.419541414043662,-0.397117098940327,-0.056148385094876,0.109196442656499,-0.0378021688582159,0.135960405090247,-0.397381568729941
"Prim2","grey","grey",0.0568998151716209,0.0619599594295098,0.0532790437493446,0.0256238356105115,-0.0233286214718485,0.0471664324774376,-0.0360694191936679,0.040439726651097,0.0488773130859714,-0.017760653824147,0.00748956741041335,0.014676499561092,0.0193802527438014,0.0123313550338372,-0.00582709399775291
"Rab23","grey","grey",0.0606971590555719,0.0217966179678828,0.0213107736477122,0.0100432216491406,0.017445924471096,0.0108344546933173,-0.023586526743932,0.0204147972604506,0.0401383656715191,0.015086756053311,0.00252925343851295,0.00769996219088736,0.0165935673983112,-0.0259453887894849,0.00611899601910529
"Bag2","grey","grey",0.0258617370744905,0.022343593193702,0.0255514811068182,0.00783212008826927,0.0142766352115748,-0.00522248992016636,0.0185814124339402,0.0377532579932271,-0.00623455225836782,0.00212284873732933,-0.0253488151202311,0.0286847483604456,0.0129147389550281,0.00308459291945219,-0.0249263145117887
"Zfp451","blue","blue",0.0839250781922311,0.0480132231207685,0.00863676386833894,0.0193378344006752,-0.065823771355839,0.105423970740887,-0.0307338345826967,-0.0170560743310555,0.00933555565978156,-0.0151365476194116,-0.00795415110991093,-0.0253772085904565,-0.0295374447805636,0.0313195527466914,0.0239847658516431
"Bend6","grey","grey",0.129273425109459,0.0614643952383804,0.0915521354347963,0.0499956875093989,0.120013890357391,-0.0479525282395056,-0.0326956399425375,0.0952872595788103,0.105588706073223,0.045224857576866,0.0775986332140398,0.101229710543504,0.119452137324609,-0.07467011808699,0.00567323773986093
"Dst","grey","grey",0.165309549174877,0.0351324705059969,0.0508127664063364,-0.0019322199639864,0.114901399311979,-0.0278768945930164,-0.149234419417118,0.101417881392097,0.0654341460491034,0.0592132092185057,0.0400338751418594,0.0664942363884264,0.122191109715864,-0.105829953455744,0.0299927619105941
